,resource,potential_type,la100_scenario,load_projection,coincident_type,region,cumulative?,units,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045
3,solar_rooftop_ci,economic,ltd_transmission,moderate,na,rsCrsQrsHall,cumulative,MW,263.7248,267.8455,271.9662,276.0869,280.2076,284.3283,289.27314,294.21797999999995,299.16282,304.10766,309.0525,,,,,329.656,,,,,354.3802,,,,,370.86300000000006
4,solar_rooftop_residentialSF,economic,ltd_transmission,moderate,na,rsCrsQrsHall,cumulative,MW,91.2384,92.664,94.0896,95.5152,96.9408,98.3664,100.07712,101.78784,103.49856,105.20928,106.92,,,,,114.04799999999999,,,,,122.6016,,,,,128.304
5,solar_rooftop_residentialMF,economic,ltd_transmission,moderate,na,rsCrsQrsHall,cumulative,MW,71.5104,72.62775,73.7451,74.86245,75.9798,77.09715,78.43796999999999,79.77879,81.11961,82.46043,83.80125,,,,,89.38799999999999,,,,,96.0921,,,,,100.5615
7,ci_shed_nonwatersystem,eligible,,moderate,system,rsCrsQrsHall,cumulative,MW,38.279790000000006,37.876086,37.472382,37.068678000000006,36.664974,36.26127,36.045,35.82873,35.61246,35.396190000000004,35.17992,,,,,36.69381,,,,,36.91008,,,,,38.9286
