FCZ7.Residential.MULTIFAMILY.CoolingEff,FCZ7.Residential.MULTIFAMILY.Dryer,FCZ7.Residential.MULTIFAMILY.Heating,FCZ7.Residential.MULTIFAMILY.HeatPumpEff,FCZ7.Residential.MULTIFAMILY.Miscellaneous,FCZ7.Residential.MULTIFAMILY.Refrigerator,FCZ7.Residential.MULTIFAMILY.ResLightingEff,FCZ7.Residential.MULTIFAMILY.ResOccsensorEff,FCZ7.Residential.MULTIFAMILY.Washer,FCZ7.Residential.MULTIFAMILY.WaterHeating,FCZ7.Residential.SINGLEFAMILY.CoolingEff,FCZ7.Residential.SINGLEFAMILY.Dryer,FCZ7.Residential.SINGLEFAMILY.Heating,FCZ7.Residential.SINGLEFAMILY.HeatPumpEff,FCZ7.Residential.SINGLEFAMILY.Miscellaneous,FCZ7.Residential.SINGLEFAMILY.Refrigerator,FCZ7.Residential.SINGLEFAMILY.ResLightingEff,FCZ7.Residential.SINGLEFAMILY.ResOccsensorEff,FCZ7.Residential.SINGLEFAMILY.Washer,FCZ7.Residential.SINGLEFAMILY.WaterHeating
0,0.24149038,0.59434174,0,0.719235976,0.511861404,0.583754005,0.981741058,0.063099198,1,0,0.24149038,0.504838623,0,0.719235976,0.511861404,0.583754005,0.981741058,0.063099198,1
0,0.152646618,0.386213668,0.093980496,0.71103942,0.501438886,0.402426719,0.67655076,0.056495793,1,0,0.152646618,0.380229166,0.068529121,0.71103942,0.501438886,0.402426719,0.67655076,0.056495793,1
0,0.068605222,0.386784132,0.071864523,0.672831482,0.481172881,0.294648043,0.381933751,0.016557425,1,0,0.068605222,0.385837505,0.051699846,0.672831482,0.481172881,0.294648043,0.381933751,0.016557425,1
0,0.032690388,0.369144761,0.073015302,0.651279323,0.47248745,0.241833588,0.230777363,0.013818235,1,0,0.032690388,0.359343062,0.051821779,0.651279323,0.47248745,0.241833588,0.230777363,0.013818235,1
0,0.023291473,0.372866293,0.08463721,0.639156233,0.463802018,0.219313452,0.173404331,0.013720407,1,0,0.023291473,0.360364375,0.060113264,0.639156233,0.463802018,0.219313452,0.173404331,0.013720407,1
0,0.026756036,0.386368294,0.104980575,0.635788708,0.458011731,0.226048684,0.155621605,0.021962434,1,0,0.026756036,0.376246969,0.074530693,0.635788708,0.458011731,0.226048684,0.155621605,0.021962434,1
0,0.046994577,0.421223692,0.132473836,0.641176748,0.451642415,0.277235845,0.159140825,0.038397574,1,0,0.046994577,0.410920447,0.094357096,0.641176748,0.451642415,0.277235845,0.159140825,0.038397574,1
0,0.090901919,0.471581471,0.135655185,0.655993858,0.462643961,0.371412318,0.17839265,0.081197417,1,0,0.090901919,0.463557525,0.09728777,0.655993858,0.462643961,0.371412318,0.17839265,0.081197417,1
0,0.190036464,0.512615153,0.143943401,0.677660513,0.478277737,0.454648343,0.198306398,0.179270202,1,0,0.190036464,0.503237357,0.101667625,0.677660513,0.478277737,0.454648343,0.198306398,0.179270202,1
0,0.346092761,0.52816257,0.125942087,0.699387784,0.497385685,0.494767807,0.21660763,0.347490706,1,0,0.346092761,0.533303909,0.089357209,0.699387784,0.497385685,0.494767807,0.21660763,0.347490706,1
