,resource,2020,lcoe_type,2021,2022,2023,2024
0,gas_harbor,,no_cobenefits,,,,
1,gas_ct,4656.42121684234,no_cobenefits,4639.443696834909,4621.385442354431,4579.141125994621,4514.079820153161
2,ci_shed_nonwatersystem,2717.0798227688692,no_cobenefits,2717.079822768911,2717.0798227689106,2717.079822768911,2717.079822768914
3,utility_solar_inbasin_rsCrsQ,28.375434175410874,no_cobenefits,27.291272034487775,26.207109890141712,25.12294774921861,24.038785625250572
4,utility_solar_outofbasin,31.190138230061322,no_cobenefits,30.10597608913822,29.021813944792154,27.93765180386906,26.85348967990102
5,commercial_solar,33.8121225266828,no_cobenefits,32.44437400373836,31.07662546726183,29.70887694431739,28.341128424795922
6,residential_solar,51.62236256883871,no_cobenefits,48.65563099021987,45.68889941160103,42.72216783298218,39.75543625436333
7,FCZ7.Commercial.College.Cooling,92.37213225333302,no_cobenefits,93.84860093242108,94.09663223759797,92.67799687468829,94.08875745745358
8,FCZ7.Commercial.College.Heating,149.4838513829042,no_cobenefits,147.55826552634414,146.48849562835042,143.46833515485906,140.66212864975932
9,FCZ7.Commercial.College.IndoorLightingEff,63.83800293729475,no_cobenefits,65.42688939756738,66.56180829717394,67.57609296691712,68.1364100861575
10,FCZ7.Commercial.College.OfficeEquipment,17.397439488076937,no_cobenefits,16.608030252815997,13.713529727032947,13.713529727032947,13.713529727032947
11,FCZ7.Commercial.College.OutdoorLighting,95.80570053699091,no_cobenefits,95.80570053699091,95.80570053699091,95.80570053699091,95.80570053699091
12,FCZ7.Commercial.College.Refrigeration,42.10081447906226,no_cobenefits,42.74250053420223,44.138307630044,52.5673221117806,53.17981686279325
13,FCZ7.Commercial.College.Ventilation,6.567447789131114,no_cobenefits,6.567447789131114,6.567447789131114,6.567447789131114,6.567447789131114
14,FCZ7.Commercial.College.WaterHeating,48.161283791962425,no_cobenefits,48.161283791962425,48.161283791962425,48.161283791962425,48.161283791962425
15,FCZ7.Commercial.Food.Cooling,92.37213227155996,no_cobenefits,93.84860094023853,94.09663224612667,92.67799687914875,94.08875746595969
16,FCZ7.Commercial.Food.Heating,149.48385135648545,no_cobenefits,147.55826551108606,146.48849559993374,143.46833515138266,140.66212863825456
17,FCZ7.Commercial.Food.IndoorLightingEff,63.83800293874802,no_cobenefits,65.42688939658318,66.56180829698481,67.57609296799622,68.13641008658014
18,FCZ7.Commercial.Food.OfficeEquipment,17.397439491512667,no_cobenefits,16.60803025651541,13.713529731009947,13.713529731009947,13.713529731009947
19,FCZ7.Commercial.Food.OutdoorLighting,95.80570054156951,no_cobenefits,95.80570054156951,95.80570054156951,95.80570054156951,95.80570054156951
20,FCZ7.Commercial.Food.Refrigeration,42.100814480420865,no_cobenefits,42.742500533411274,44.13830762670134,52.56732210583687,53.17981686238959
