Sector,PA,FCZ,BType_Des,End.Use,Scen,AAEE.Case,2021 (GWh)
Residential,LADWP,FCZ17,MULTIFAMILY,SolarWaterHeat-Back-up,Mid,Base,0
Residential,LADWP,FCZ17,MULTIFAMILY,SolarWaterHeat-Pump,Mid,Base,0
Residential,LADWP,FCZ17,MULTIFAMILY,Television,Mid,Base,205.42339
Residential,LADWP,FCZ17,MULTIFAMILY,Washer,Mid,Base,19.10576476
Residential,LADWP,FCZ17,MULTIFAMILY,WaterHeater-AllOther,Mid,Base,72.24999902
Residential,LADWP,FCZ17,MULTIFAMILY,WaterHeating-Dishwasher,Mid,Base,16.96974496
Residential,LADWP,FCZ17,MULTIFAMILY,WaterHeating-Washer,Mid,Base,30.58275177
Residential,LADWP,FCZ17,SINGLEFAMILY,Cooking,Mid,Base,47.72233298
Residential,LADWP,FCZ17,SINGLEFAMILY,Cooling,Mid,Base,428.3621222
Residential,LADWP,FCZ17,SINGLEFAMILY,Dishwasher,Mid,Base,79.23482905
Residential,LADWP,FCZ17,SINGLEFAMILY,Dryer,Mid,Base,106.7355866
Residential,LADWP,FCZ17,SINGLEFAMILY,Freezer,Mid,Base,52.32417856
Residential,LADWP,FCZ17,SINGLEFAMILY,Heating,Mid,Base,6.732845337
Residential,LADWP,FCZ17,SINGLEFAMILY,Lighting,Mid,Base,586.6007628
Residential,LADWP,FCZ17,SINGLEFAMILY,Miscellaneous,Mid,Base,1283.59937
Residential,LADWP,FCZ17,SINGLEFAMILY,PoolHeater,Mid,Base,6.152757079
Residential,LADWP,FCZ17,SINGLEFAMILY,PoolPump,Mid,Base,225.8919074
Residential,LADWP,FCZ17,SINGLEFAMILY,Refrigerator,Mid,Base,400.1518211
Residential,LADWP,FCZ17,SINGLEFAMILY,Residual,Mid,Base,3452.292362
Residential,LADWP,FCZ17,SINGLEFAMILY,SolarPoolPump,Mid,Base,0
Residential,LADWP,FCZ17,SINGLEFAMILY,SolarWaterHeat-Back-up,Mid,Base,0
Residential,LADWP,FCZ17,SINGLEFAMILY,SolarWaterHeat-Pump,Mid,Base,0.420209974
Residential,LADWP,FCZ17,SINGLEFAMILY,SpaHeater,Mid,Base,2.903151597
Residential,LADWP,FCZ17,SINGLEFAMILY,SpaPump,Mid,Base,31.66844945
Residential,LADWP,FCZ17,SINGLEFAMILY,Television,Mid,Base,133.8327066
Residential,LADWP,FCZ17,SINGLEFAMILY,Washer,Mid,Base,31.05881525
Residential,LADWP,FCZ17,SINGLEFAMILY,WaterHeater-AllOther,Mid,Base,16.97618257
Residential,LADWP,FCZ17,SINGLEFAMILY,WaterHeating-Dishwasher,Mid,Base,4.550493122
Residential,LADWP,FCZ17,SINGLEFAMILY,WaterHeating-Washer,Mid,Base,7.373840008
