,Unnamed: 0,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,resource,units
25,36,0,0.001476024,0.002810138,0.004013774,0.008048889,0.01192835,0.015619436,0.020116493,0.024422277000000003,0.028617293999999998,0.032671532999999996,0.036560151,FCZ7.Commercial.Hotel.Ventilation,MW
26,37,0,0.0067304669999999995,0.01281384,0.018302255,0.036701826,0.054391634,0.071222479,0.09172843900000001,0.11136222300000001,0.130490923,0.148977694,0.166709257,FCZ7.Commercial.Miscellaneous.Ventilation,MW
27,38,0,0.033524275,0.063825391,0.09116303699999999,0.1828108,0.270923252,0.354757231,0.456896865,0.5546922089999999,0.6499717429999999,0.742053845,0.830374281,FCZ7.Commercial.Office.Ventilation,MW
28,39,0,1.87e-05,3.5600000000000005e-05,5.0900000000000004e-05,0.000102052,0.00015124,0.000198039,0.000255057,0.00030965,0.000362839,0.000414242,0.000463546,FCZ7.Commercial.Refrigerated Warehouse.Ventilation,MW
29,40,0,0.00445186,0.008475699,0.012106005,0.024276379,0.035977281,0.047110023,0.060673667,0.07366040900000001,0.086313065,0.098541117,0.110269639,FCZ7.Commercial.Restaurant.Ventilation,MW
30,41,0,0.004928544,0.009383238,0.013402259,0.02687578,0.03982956,0.052154344000000005,0.06717031799999999,0.081547621,0.09555506300000001,0.10909243800000001,0.122076795,FCZ7.Commercial.Retail.Ventilation,MW
31,42,0,0.005179225,0.009860499,0.014083941,0.028242768999999997,0.04185542,0.054807082,0.070586818,0.08569539699999999,0.10041530300000001,0.11464123300000001,0.128286015,FCZ7.Commercial.School.Ventilation,MW
32,43,0,0.0011482460000000001,0.002186094,0.0031224409999999997,0.006261484,0.009279439,0.012150851,0.015649253000000002,0.018998859,0.022262294,0.025416214,0.028441293,FCZ7.Commercial.Warehouse.Ventilation,MW
33,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FCZ7.Commercial.College.Heating,MW
34,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FCZ7.Commercial.Food.Heating,MW
35,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FCZ7.Commercial.Health Care.Heating,MW
36,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FCZ7.Commercial.Hotel.Heating,MW
37,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FCZ7.Commercial.Miscellaneous.Heating,MW
38,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FCZ7.Commercial.Office.Heating,MW
39,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FCZ7.Commercial.Refrigerated Warehouse.Heating,MW
40,51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FCZ7.Commercial.Restaurant.Heating,MW
41,52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FCZ7.Commercial.Retail.Heating,MW
42,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FCZ7.Commercial.School.Heating,MW
43,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FCZ7.Commercial.Warehouse.Heating,MW
44,66,0,1.75e-05,3.4899999999999995e-05,5.2300000000000004e-05,6.96e-05,8.669999999999999e-05,0.00010363600000000001,0.000120448,0.000136957,0.000152971,0.00016805299999999998,0.000181498,FCZ7.Commercial.College.IndoorLightingEff,MW
45,67,0,1.9399999999999997e-05,3.8799999999999994e-05,5.8099999999999996e-05,7.72e-05,9.620000000000001e-05,0.00011503,0.000133691,0.000152015,0.00016979,0.00018653,0.00020145299999999998,FCZ7.Commercial.Food.IndoorLightingEff,MW
