,date,hour,moer (lbs CO2/MWh),version
185,2019-01-08,17,0,3
186,2019-01-08,18,0,3
187,2019-01-08,19,0,3
188,2019-01-08,20,0,3
189,2019-01-08,21,0,3
190,2019-01-08,22,0,3
191,2019-01-08,23,0,3
192,2019-01-09,0,0,3
193,2019-01-09,1,0,3
194,2019-01-09,2,0,3
195,2019-01-09,3,0,3
196,2019-01-09,4,0,3
197,2019-01-09,5,0,3
198,2019-01-09,6,0,3
199,2019-01-09,7,0,3
200,2019-01-09,8,0,3
201,2019-01-09,9,0,3
202,2019-01-09,10,0,3
203,2019-01-09,11,0,3
204,2019-01-09,12,0,3
205,2019-01-09,13,0,3
206,2019-01-09,14,0,3
207,2019-01-09,15,0,3
208,2019-01-09,16,0,3
209,2019-01-09,17,0,3
210,2019-01-09,18,0,3
211,2019-01-09,19,0,3
212,2019-01-09,20,0,3
213,2019-01-09,21,0,3
214,2019-01-09,22,0,3
215,2019-01-09,23,0,3
216,2019-01-10,0,0,3
217,2019-01-10,1,0,3
218,2019-01-10,2,0,3
219,2019-01-10,3,0,3
220,2019-01-10,4,0,3
221,2019-01-10,5,0,3
222,2019-01-10,6,0,3
223,2019-01-10,7,0,3
224,2019-01-10,8,0,3
225,2019-01-10,9,0,3
226,2019-01-10,10,0,3
227,2019-01-10,11,0,3
228,2019-01-10,12,0,3
229,2019-01-10,13,0,3
230,2019-01-10,14,0,3
231,2019-01-10,15,0,3
232,2019-01-10,16,0,3
233,2019-01-10,17,0,3
234,2019-01-10,18,0,3
235,2019-01-10,19,0,3
236,2019-01-10,20,0,3
237,2019-01-10,21,0,3
238,2019-01-10,22,0,3
239,2019-01-10,23,0,3
240,2019-01-11,0,0,3
241,2019-01-11,1,0,3
242,2019-01-11,2,0,3
243,2019-01-11,3,0,3
244,2019-01-11,4,0,3
245,2019-01-11,5,0,3
246,2019-01-11,6,0,3
247,2019-01-11,7,0,3
248,2019-01-11,8,0,3
249,2019-01-11,9,0,3
250,2019-01-11,10,0,3
251,2019-01-11,11,0,3
252,2019-01-11,12,0,3
253,2019-01-11,13,0,3
254,2019-01-11,14,0,3
255,2019-01-11,15,0,3
256,2019-01-11,16,0,3
257,2019-01-11,17,0,3
258,2019-01-11,18,0,3
259,2019-01-11,19,0,3
260,2019-01-11,20,0,3
261,2019-01-11,21,0,3
262,2019-01-11,22,0,3
263,2019-01-11,23,0,3
264,2019-01-12,0,0,3
265,2019-01-12,1,0,3
266,2019-01-12,2,0,3
267,2019-01-12,3,0,3
268,2019-01-12,4,0,3
269,2019-01-12,5,0,3
270,2019-01-12,6,0,3
271,2019-01-12,7,0,3
272,2019-01-12,8,0,3
273,2019-01-12,9,0,3
274,2019-01-12,10,0,3
275,2019-01-12,11,0,3
276,2019-01-12,12,0,3
277,2019-01-12,13,0,3
278,2019-01-12,14,0,3
279,2019-01-12,15,0,3
280,2019-01-12,16,0,3
281,2019-01-12,17,0,3
282,2019-01-12,18,0,3
283,2019-01-12,19,0,3
284,2019-01-12,20,0,3
285,2019-01-12,21,0,3
286,2019-01-12,22,0,3
287,2019-01-12,23,0,3
288,2019-01-13,0,0,3
289,2019-01-13,1,0,3
290,2019-01-13,2,0,3
291,2019-01-13,3,0,3
292,2019-01-13,4,0,3
293,2019-01-13,5,0,3
294,2019-01-13,6,0,3
295,2019-01-13,7,0,3
296,2019-01-13,8,0,3
297,2019-01-13,9,0,3
298,2019-01-13,10,0,3
299,2019-01-13,11,0,3
300,2019-01-13,12,0,3
301,2019-01-13,13,0,3
302,2019-01-13,14,0,3
303,2019-01-13,15,0,3
304,2019-01-13,16,0,3
305,2019-01-13,17,0,3
306,2019-01-13,18,0,3
307,2019-01-13,19,0,3
308,2019-01-13,20,0,3
309,2019-01-13,21,0,3
310,2019-01-13,22,0,3
311,2019-01-13,23,0,3
312,2019-01-14,0,0,3
313,2019-01-14,1,0,3
314,2019-01-14,2,0,3
315,2019-01-14,3,0,3
316,2019-01-14,4,0,3
317,2019-01-14,5,0,3
318,2019-01-14,6,0,3
319,2019-01-14,7,0,3
320,2019-01-14,8,0,3
321,2019-01-14,9,0,3
322,2019-01-14,10,0,3
323,2019-01-14,11,0,3
324,2019-01-14,12,0,3
325,2019-01-14,13,0,3
326,2019-01-14,14,0,3
327,2019-01-14,15,0,3
328,2019-01-14,16,0,3
329,2019-01-14,17,0,3
330,2019-01-14,18,0,3
331,2019-01-14,19,0,3
332,2019-01-14,20,0,3
333,2019-01-14,21,0,3
334,2019-01-14,22,0,3
335,2019-01-14,23,0,3
336,2019-01-15,0,0,3
337,2019-01-15,1,0,3
338,2019-01-15,2,0,3
339,2019-01-15,3,0,3
340,2019-01-15,4,0,3
341,2019-01-15,5,0,3
342,2019-01-15,6,0,3
343,2019-01-15,7,0,3
344,2019-01-15,8,0,3
345,2019-01-15,9,0,3
346,2019-01-15,10,0,3
347,2019-01-15,11,0,3
348,2019-01-15,12,0,3
349,2019-01-15,13,0,3
350,2019-01-15,14,0,3
351,2019-01-15,15,0,3
352,2019-01-15,16,0,3
353,2019-01-15,17,0,3
354,2019-01-15,18,0,3
355,2019-01-15,19,0,3
356,2019-01-15,20,0,3
357,2019-01-15,21,0,3
358,2019-01-15,22,0,3
359,2019-01-15,23,0,3
360,2019-01-16,0,0,3
361,2019-01-16,1,0,3
362,2019-01-16,2,0,3
363,2019-01-16,3,0,3
364,2019-01-16,4,0,3
365,2019-01-16,5,0,3
366,2019-01-16,6,0,3
367,2019-01-16,7,0,3
368,2019-01-16,8,0,3
369,2019-01-16,9,0,3
370,2019-01-16,10,0,3
371,2019-01-16,11,0,3
372,2019-01-16,12,0,3
373,2019-01-16,13,0,3
374,2019-01-16,14,0,3
375,2019-01-16,15,0,3
376,2019-01-16,16,0,3
377,2019-01-16,17,0,3
378,2019-01-16,18,0,3
379,2019-01-16,19,0,3
380,2019-01-16,20,0,3
381,2019-01-16,21,0,3
382,2019-01-16,22,0,3
383,2019-01-16,23,0,3
384,2019-01-17,0,0,3
385,2019-01-17,1,0,3
386,2019-01-17,2,0,3
387,2019-01-17,3,0,3
388,2019-01-17,4,0,3
389,2019-01-17,5,0,3
390,2019-01-17,6,0,3
391,2019-01-17,7,0,3
392,2019-01-17,8,0,3
393,2019-01-17,9,0,3
394,2019-01-17,10,0,3
395,2019-01-17,11,0,3
396,2019-01-17,12,0,3
397,2019-01-17,13,0,3
398,2019-01-17,14,0,3
399,2019-01-17,15,0,3
400,2019-01-17,16,0,3
401,2019-01-17,17,0,3
402,2019-01-17,18,0,3
403,2019-01-17,19,0,3
404,2019-01-17,20,0,3
405,2019-01-17,21,0,3
406,2019-01-17,22,0,3
407,2019-01-17,23,0,3
408,2019-01-18,0,0,3
409,2019-01-18,1,0,3
410,2019-01-18,2,0,3
411,2019-01-18,3,0,3
412,2019-01-18,4,0,3
413,2019-01-18,5,0,3
414,2019-01-18,6,0,3
415,2019-01-18,7,0,3
416,2019-01-18,8,0,3
417,2019-01-18,9,0,3
418,2019-01-18,10,0,3
419,2019-01-18,11,0,3
420,2019-01-18,12,0,3
421,2019-01-18,13,0,3
422,2019-01-18,14,0,3
423,2019-01-18,15,0,3
424,2019-01-18,16,0,3
425,2019-01-18,17,0,3
426,2019-01-18,18,0,3
427,2019-01-18,19,0,3
428,2019-01-18,20,0,3
429,2019-01-18,21,0,3
430,2019-01-18,22,0,3
431,2019-01-18,23,0,3
432,2019-01-19,0,0,3
433,2019-01-19,1,0,3
434,2019-01-19,2,0,3
435,2019-01-19,3,0,3
436,2019-01-19,4,0,3
437,2019-01-19,5,0,3
438,2019-01-19,6,0,3
439,2019-01-19,7,0,3
440,2019-01-19,8,0,3
441,2019-01-19,9,0,3
442,2019-01-19,10,0,3
443,2019-01-19,11,0,3
444,2019-01-19,12,0,3
445,2019-01-19,13,0,3
446,2019-01-19,14,0,3
447,2019-01-19,15,0,3
448,2019-01-19,16,0,3
449,2019-01-19,17,0,3
450,2019-01-19,18,0,3
451,2019-01-19,19,0,3
452,2019-01-19,20,0,3
453,2019-01-19,21,0,3
454,2019-01-19,22,0,3
455,2019-01-19,23,0,3
456,2019-01-20,0,0,3
457,2019-01-20,1,0,3
458,2019-01-20,2,0,3
459,2019-01-20,3,0,3
460,2019-01-20,4,0,3
461,2019-01-20,5,0,3
462,2019-01-20,6,0,3
463,2019-01-20,7,0,3
464,2019-01-20,8,0,3
465,2019-01-20,9,0,3
466,2019-01-20,10,0,3
467,2019-01-20,11,0,3
468,2019-01-20,12,0,3
469,2019-01-20,13,0,3
470,2019-01-20,14,0,3
471,2019-01-20,15,0,3
472,2019-01-20,16,0,3
473,2019-01-20,17,0,3
474,2019-01-20,18,0,3
475,2019-01-20,19,0,3
476,2019-01-20,20,0,3
477,2019-01-20,21,0,3
478,2019-01-20,22,0,3
479,2019-01-20,23,0,3
480,2019-01-21,0,0,3
481,2019-01-21,1,0,3
482,2019-01-21,2,0,3
483,2019-01-21,3,0,3
484,2019-01-21,4,0,3
485,2019-01-21,5,0,3
486,2019-01-21,6,0,3
487,2019-01-21,7,0,3
488,2019-01-21,8,0,3
489,2019-01-21,9,0,3
490,2019-01-21,10,0,3
491,2019-01-21,11,0,3
492,2019-01-21,12,0,3
493,2019-01-21,13,0,3
494,2019-01-21,14,0,3
495,2019-01-21,15,0,3
496,2019-01-21,16,0,3
497,2019-01-21,17,0,3
498,2019-01-21,18,0,3
499,2019-01-21,19,0,3
500,2019-01-21,20,0,3
501,2019-01-21,21,0,3
502,2019-01-21,22,0,3
503,2019-01-21,23,0,3
504,2019-01-22,0,0,3
505,2019-01-22,1,0,3
506,2019-01-22,2,0,3
507,2019-01-22,3,0,3
508,2019-01-22,4,0,3
509,2019-01-22,5,0,3
510,2019-01-22,6,0,3
511,2019-01-22,7,0,3
512,2019-01-22,8,0,3
513,2019-01-22,9,0,3
514,2019-01-22,10,0,3
515,2019-01-22,11,0,3
516,2019-01-22,12,0,3
517,2019-01-22,13,0,3
518,2019-01-22,14,0,3
519,2019-01-22,15,0,3
520,2019-01-22,16,0,3
521,2019-01-22,17,0,3
522,2019-01-22,18,0,3
523,2019-01-22,19,0,3
524,2019-01-22,20,0,3
525,2019-01-22,21,0,3
526,2019-01-22,22,0,3
527,2019-01-22,23,0,3
528,2019-01-23,0,0,3
529,2019-01-23,1,0,3
530,2019-01-23,2,0,3
531,2019-01-23,3,0,3
532,2019-01-23,4,0,3
533,2019-01-23,5,0,3
534,2019-01-23,6,0,3
535,2019-01-23,7,0,3
536,2019-01-23,8,0,3
537,2019-01-23,9,0,3
538,2019-01-23,10,0,3
539,2019-01-23,11,0,3
540,2019-01-23,12,0,3
541,2019-01-23,13,0,3
542,2019-01-23,14,0,3
543,2019-01-23,15,0,3
544,2019-01-23,16,0,3
545,2019-01-23,17,0,3
546,2019-01-23,18,0,3
547,2019-01-23,19,0,3
548,2019-01-23,20,0,3
549,2019-01-23,21,0,3
550,2019-01-23,22,0,3
551,2019-01-23,23,0,3
552,2019-01-24,0,0,3
553,2019-01-24,1,0,3
554,2019-01-24,2,0,3
555,2019-01-24,3,0,3
556,2019-01-24,4,0,3
557,2019-01-24,5,0,3
558,2019-01-24,6,0,3
559,2019-01-24,7,0,3
560,2019-01-24,8,0,3
561,2019-01-24,9,0,3
562,2019-01-24,10,0,3
563,2019-01-24,11,0,3
564,2019-01-24,12,0,3
565,2019-01-24,13,0,3
566,2019-01-24,14,0,3
567,2019-01-24,15,0,3
568,2019-01-24,16,0,3
569,2019-01-24,17,0,3
570,2019-01-24,18,0,3
571,2019-01-24,19,0,3
572,2019-01-24,20,0,3
573,2019-01-24,21,0,3
574,2019-01-24,22,0,3
575,2019-01-24,23,0,3
576,2019-01-25,0,0,3
577,2019-01-25,1,0,3
578,2019-01-25,2,0,3
579,2019-01-25,3,0,3
580,2019-01-25,4,0,3
581,2019-01-25,5,0,3
582,2019-01-25,6,0,3
583,2019-01-25,7,0,3
584,2019-01-25,8,0,3
585,2019-01-25,9,0,3
586,2019-01-25,10,0,3
587,2019-01-25,11,0,3
588,2019-01-25,12,0,3
589,2019-01-25,13,0,3
590,2019-01-25,14,0,3
591,2019-01-25,15,0,3
592,2019-01-25,16,0,3
593,2019-01-25,17,0,3
594,2019-01-25,18,0,3
595,2019-01-25,19,0,3
596,2019-01-25,20,0,3
597,2019-01-25,21,0,3
598,2019-01-25,22,0,3
599,2019-01-25,23,0,3
600,2019-01-26,0,0,3
601,2019-01-26,1,0,3
602,2019-01-26,2,0,3
603,2019-01-26,3,0,3
604,2019-01-26,4,0,3
605,2019-01-26,5,0,3
