DEMAND,SOLAR,WIND,COAL,COAL_CRYO,COAL_AMINE,NUCLEAR
31145,0,5118.3,57747,57747,57747,115494
29559,0,4758.88,57747,57747,57747,115494
28028,0,4549.97,57747,57747,57747,115494
26658,0,4398.93,57747,57747,57747,115494
25563,0,4669.1,57747,57747,57747,115494
24931,0,4802.45,57747,57747,57747,115494
24670,0,4635.42,57747,57747,57747,115494
24892,0,4494.48,57747,57747,57747,115494
25543,1247.92,4521.19,57747,57747,57747,115494
26475,4867.93,4213.19,57747,57747,57747,115494
27000,6630.58,2888.53,57747,57747,57747,115494
27285,7797.34,2025.23,57747,57747,57747,115494
27551,8288.89,1967.71,57747,57747,57747,115494
27496,8417.68,1809.48,57747,57747,57747,115494
27342,8055.96,1845.89,57747,57747,57747,115494
27298,7125.36,1909.71,57747,57747,57747,115494
27308,4757.15,2137,57747,57747,57747,115494
27581,726.33,2778.21,57747,57747,57747,115494
28048,1.31,3292.21,57747,57747,57747,115494
29882,0,3699.73,57747,57747,57747,115494
33183,0,4136.45,57747,57747,57747,115494
33692,0,4472.67,57747,57747,57747,115494
33333,0,4695.74,57747,57747,57747,115494
32383,0,4929.87,57747,57747,57747,115494
30641,0,5133.82,57747,57747,57747,115494
28607,0,5513.17,57747,57747,57747,115494
26910,0,5818.91,57747,57747,57747,115494
25524,0,5970.24,57747,57747,57747,115494
24673,0,6121.58,57747,57747,57747,115494
24188,0,6309.02,57747,57747,57747,115494
24324,0,6389.05,57747,57747,57747,115494
25250,0,6191.04,57747,57747,57747,115494
27395,1332.49,5972.33,57747,57747,57747,115494
30197,5380.89,5817.78,57747,57747,57747,115494
31828,7254.36,5189.67,57747,57747,57747,115494
32351,7817.93,4300.55,57747,57747,57747,115494
32548,8121.68,3928.96,57747,57747,57747,115494
32462,8425.39,3772.19,57747,57747,57747,115494
32136,8057.49,3569.61,57747,57747,57747,115494
31972,7132.86,3431.79,57747,57747,57747,115494
31891,4769.84,3776.92,57747,57747,57747,115494
31718,665.65,4541.18,57747,57747,57747,115494
31806,3.28,4568.15,57747,57747,57747,115494
33226,0,4350.04,57747,57747,57747,115494
35760,0,4092.99,57747,57747,57747,115494
35953,0,3873.39,57747,57747,57747,115494
35254,0,4001.76,57747,57747,57747,115494
33946,0,4196.76,57747,57747,57747,115494
32094,0,4232.51,57747,57747,57747,115494
29799,0,4294.26,57747,57747,57747,115494
27619,0,4211.05,57747,57747,57747,115494
26164,0,4013.8,57747,57747,57747,115494
25358,0,3946.29,57747,57747,57747,115494
24936,0,3864.87,57747,57747,57747,115494
24924,0,3819.46,57747,57747,57747,115494
25632,0,3707.36,57747,57747,57747,115494
27495,1235.65,3562.44,57747,57747,57747,115494
30244,5318.51,3192.21,57747,57747,57747,115494
32007,7666.24,2376.19,57747,57747,57747,115494
32858,8919.07,1788.23,57747,57747,57747,115494
33829,9304.54,1619.81,57747,57747,57747,115494
34462,9300.46,1779.23,57747,57747,57747,115494
34532,8859.92,2054.41,57747,57747,57747,115494
34474,7814.34,2373.41,57747,57747,57747,115494
34154,5376.49,3057.56,57747,57747,57747,115494
33605,960.94,4406.59,57747,57747,57747,115494
33325,4.1,5343.3,57747,57747,57747,115494
34499,0,5334.53,57747,57747,57747,115494
36715,0,5377.51,57747,57747,57747,115494
36956,0,5561.59,57747,57747,57747,115494
36192,0,5776.88,57747,57747,57747,115494
35002,0,5873.38,57747,57747,57747,115494
32825,0,5990.51,57747,57747,57747,115494
30267,0,5772.94,57747,57747,57747,115494
28079,0,5695.45,57747,57747,57747,115494
26457,0,5796.36,57747,57747,57747,115494
25497,0,5917.49,57747,57747,57747,115494
24964,0,6149.66,57747,57747,57747,115494
25022,0,5972.13,57747,57747,57747,115494
25969,0,5756.88,57747,57747,57747,115494
28272,1273.19,5700.41,57747,57747,57747,115494
31042,5422.35,4988.09,57747,57747,57747,115494
32776,7622.14,3936.05,57747,57747,57747,115494
33470,8707.49,3032.98,57747,57747,57747,115494
33880,9098.66,2851.24,57747,57747,57747,115494
34174,9086.9,2797.98,57747,57747,57747,115494
34404,8693.52,2981.89,57747,57747,57747,115494
34275,7866.17,3375.02,57747,57747,57747,115494
34321,5588.92,4346.86,57747,57747,57747,115494
34192,1107.05,6434.15,57747,57747,57747,115494
34417,3.47,7934.67,57747,57747,57747,115494
35435,0,9104.05,57747,57747,57747,115494
37374,0,9921.83,57747,57747,57747,115494
37423,0,10584.68,57747,57747,57747,115494
36629,0,11235.16,57747,57747,57747,115494
35469,0,11357.58,57747,57747,57747,115494
33362,0,12009.52,57747,57747,57747,115494
30779,0,12590.15,57747,57747,57747,115494
28323,0,13220.64,57747,57747,57747,115494
26771,0,13942.16,57747,57747,57747,115494
26000,0,14569.45,57747,57747,57747,115494
25514,0,14735.99,57747,57747,57747,115494
25492,0,14666.34,57747,57747,57747,115494
26421,0,15038.08,57747,57747,57747,115494
28574,1170.41,15816.98,57747,57747,57747,115494
31487,5217.4,15677,57747,57747,57747,115494
32821,7238.35,15164.1,57747,57747,57747,115494
32900,7933.63,16227.37,57747,57747,57747,115494
32860,8266.82,18984.06,57747,57747,57747,115494
32715,8505.88,22291.31,57747,57747,57747,115494
32425,8489.16,26085.17,57747,57747,57747,115494
32363,7267.79,29202.38,57747,57747,57747,115494
32082,5132.77,31231.56,57747,57747,57747,115494
31700,968.21,32106.89,57747,57747,57747,115494
31891,1.19,33256.13,57747,57747,57747,115494
33394,0,33100,57747,57747,57747,115494
