,date,hour,co2_short_tons_per_mwh,so2_cost_per_mwh_LOW_3pct,so2_cost_per_mwh_HIGH_3pct,nox_cost_per_mwh_LOW_3pct,nox_cost_per_mwh_HIGH_3pct,so2_cost_per_mwh_LOW_6pct,so2_cost_per_mwh_HIGH_6pct,nox_cost_per_mwh_LOW_6pct,nox_cost_per_mwh_HIGH_6pct
1957,2019-03-23,13,0.6122049221496735,1.0104952353088898,2.2720160346559517,1.0104952353088898,2.2720160346559517,0.9256848189352085,2.0796410919136115,0.9256848189352085,2.0796410919136115
1958,2019-03-23,14,0.6059402533039648,1.0231419058370044,2.3005074614537446,1.0231419058370044,2.3005074614537446,0.9372693761013214,2.105720574889868,0.9372693761013214,2.105720574889868
1959,2019-03-23,15,0.6169611224788073,1.0430921805027769,2.3452402976712463,1.0430921805027769,2.3452402976712463,0.9555467328753776,2.146664791386534,0.9555467328753776,2.146664791386534
1960,2019-03-23,16,0.5583492436481128,1.005023847921868,2.258935273167866,1.005023847921868,2.258935273167866,0.9206820830518432,2.067661448377148,0.9206820830518432,2.067661448377148
1961,2019-03-23,17,0.5345122760451227,0.9740123455872595,2.1890233842070335,0.9740123455872595,2.1890233842070335,0.892275605573988,2.0036675694757795,0.892275605573988,2.0036675694757795
1962,2019-03-23,18,0.5286115007012623,0.9886539005482595,2.2219057886013003,0.9886539005482595,2.2219057886013003,0.9056887611883209,2.033765458115517,0.9056887611883209,2.033765458115517
1963,2019-03-23,19,0.5519530676647585,1.1455072864743872,2.5757005375752238,1.1455072864743872,2.5757005375752238,1.049363902722736,2.3576131822985467,1.049363902722736,2.3576131822985467
1964,2019-03-23,20,0.5828307043573325,1.4468304609792286,3.255299054349524,1.4468304609792286,3.255299054349524,1.3253717259175388,2.9796864658129003,1.3253717259175388,2.9796864658129003
1965,2019-03-23,21,0.5612910705836102,1.2475199533725136,2.8059027419330156,1.2475199533725136,2.8059027419330156,1.1428045694495121,2.5683307423555806,1.1428045694495121,2.5683307423555806
1966,2019-03-23,22,0.5486736956371111,1.1380232673279904,2.5590912135944754,1.1380232673279904,2.5590912135944754,1.0425053728549323,2.3424119985680303,1.0425053728549323,2.3424119985680303
1967,2019-03-23,23,0.5490847784200386,1.0264142466748627,2.3074299792583326,1.0264142466748627,2.3074299792583326,0.9402723447035055,2.112053349969804,0.9402723447035055,2.112053349969804
1968,2019-03-24,0,0.5555688888888889,1.0124422410666667,2.2759493866666665,1.0124422410666667,2.2759493866666665,0.9274737994666666,2.0832377216,0.9274737994666666,2.0832377216
1969,2019-03-24,1,0.5601320136910415,1.0053534383037552,2.2599230812509896,1.0053534383037552,2.2599230812509896,0.9209810199900088,2.068567660701567,0.9209810199900088,2.068567660701567
1970,2019-03-24,2,0.5495174030235556,0.9824317093050509,2.208187107113559,0.9824317093050509,2.208187107113559,0.8999855057424117,2.0212106051798897,0.8999855057424117,2.0212106051798897
1971,2019-03-24,3,0.5431946624803767,1.0610540715407044,2.3853350852209014,1.0610540715407044,2.3853350852209014,0.972004618524333,2.1833622839201614,0.972004618524333,2.1833622839201614
1972,2019-03-24,4,0.5354889943892965,0.991437167673716,2.2284046978851966,0.991437167673716,2.2284046978851966,0.9082355090634442,2.039716090634441,0.9082355090634442,2.039716090634441
1973,2019-03-24,5,0.5364190243459452,1.0005265629948237,2.2488741905324074,1.0005265629948237,2.2488741905324074,0.9165616387322606,2.05845267224199,0.9165616387322606,2.05845267224199
1974,2019-03-24,6,0.5624150509001137,1.036846566717983,2.3309266618817785,1.036846566717983,2.3309266618817785,0.9498285942761644,2.1335608689634133,0.9498285942761644,2.1335608689634133
1975,2019-03-24,7,0.6196915682592228,1.0928190530142916,2.4575410049495496,1.0928190530142916,2.4575410049495496,1.0010940641643058,2.2494609225005573,1.0010940641643058,2.2494609225005573
1976,2019-03-24,8,0.6322027561157996,1.083437346524143,2.436475145550689,1.083437346524143,2.436475145550689,0.9924994190057153,2.2301789734803976,0.9924994190057153,2.2301789734803976
1977,2019-03-24,9,0.6357390369618632,1.0769435105023502,2.4218435810810806,1.0769435105023502,2.4218435810810806,0.9865509799500587,2.2167860308460634,0.9865509799500587,2.2167860308460634
1978,2019-03-24,10,0.6345098511617947,1.1006514467354642,2.475263709979655,1.1006514467354642,2.475263709979655,1.008267728403737,2.2656839492183316,1.008267728403737,2.2656839492183316
1979,2019-03-24,11,0.634863208052254,1.1013949856047223,2.476932702912517,1.1013949856047223,2.476932702912517,1.0089488962482598,2.267211602928579,1.0089488962482598,2.267211602928579
1980,2019-03-24,12,0.6347967811963979,1.093120991845787,2.4582967798563464,1.093120991845787,2.4582967798563464,1.0013697293565074,2.2501533415791166,1.0013697293565074,2.2501533415791166
1981,2019-03-24,13,0.6295065930531732,1.0738187019122536,2.4148037856453684,1.0738187019122536,2.4148037856453684,0.9836886038740887,2.2103421899924953,0.9836886038740887,2.2103421899924953
1982,2019-03-24,14,0.6278261443661972,1.056409070862676,2.375592545774648,1.056409070862676,2.375592545774648,0.9673747363556338,2.173626716549296,0.9673747363556338,2.173626716549296
1983,2019-03-24,15,0.6529778617710583,0.9870636605021598,2.21941726349892,0.9870636605021598,2.21941726349892,0.8998523008909287,2.021675231641469,0.8998523008909287,2.021675231641469
1984,2019-03-24,16,0.6192689459587206,0.9584424289428076,2.1543296871750433,0.9584424289428076,2.1543296871750433,0.8738232465337955,1.9624999683708837,0.8738232465337955,1.9624999683708837
1985,2019-03-24,17,0.5302991202346041,0.8028310682991202,1.80419136973607,0.8028310682991202,1.80419136973607,0.7308348986510262,1.6410153961583578,0.7308348986510262,1.6410153961583578
1986,2019-03-24,18,0.500381941874522,0.6906423582605531,1.5520859156304743,0.6906423582605531,1.5520859156304743,0.6256037886876127,1.4047316598882393,0.6256037886876127,1.4047316598882393
1987,2019-03-24,19,0.5072022345771411,0.7263021010945686,1.6325425767320643,0.7263021010945686,1.6325425767320643,0.6584826566596279,1.4788627551935207,0.6584826566596279,1.4788627551935207
1988,2019-03-24,20,0.5102589168721563,0.7499145342178842,1.685800587058799,0.7499145342178842,1.685800587058799,0.6801013069679024,1.5275902860853459,0.6801013069679024,1.5275902860853459
1989,2019-03-24,21,0.515003744081225,0.6985492939488591,1.5701132438142484,0.6985492939488591,1.5701132438142484,0.6326139165366526,1.4207169599062617,0.6326139165366526,1.4207169599062617
1990,2019-03-24,22,0.5480828562754319,0.7959710163845091,1.7889428577737687,0.7959710163845091,1.7889428577737687,0.7252199011272472,1.6285696585681493,0.7252199011272472,1.6285696585681493
1991,2019-03-24,23,0.5447926623681328,0.7617829637756565,1.71226251159431,0.7617829637756565,1.71226251159431,0.6928284309653018,1.5559756415605068,0.6928284309653018,1.5559756415605068
1992,2019-03-25,0,0.5529333488809169,0.7720965273031574,1.73546989274911,0.7720965273031574,1.73546989274911,0.702642140909122,1.5780413523654049,0.702642140909122,1.5780413523654049
1993,2019-03-25,1,0.5619315800502933,0.7964665417015927,1.7902542699077957,0.7964665417015927,1.7902542699077957,0.7254683845347862,1.6293149274937135,0.7254683845347862,1.6293149274937135
1994,2019-03-25,2,0.5534719428801287,0.79489980229284,1.786638651649236,0.79489980229284,1.786638651649236,0.7242015066371681,1.6263808435237328,0.7242015066371681,1.6263808435237328
1995,2019-03-25,3,0.5507950731938024,0.8596530517606565,1.932617799759679,0.8596530517606565,1.932617799759679,0.7832562680189813,1.7594201683570596,0.7832562680189813,1.7594201683570596
1996,2019-03-25,4,0.5441537298680156,0.7642773613700624,1.717891922407203,0.7642773613700624,1.717891922407203,0.6950134124098516,1.5609040807120569,0.6950134124098516,1.5609040807120569
1997,2019-03-25,5,0.5435760318113259,0.7649733826614561,1.7194465623885915,0.7649733826614561,1.7194465623885915,0.695687248697381,1.5624082152063619,0.695687248697381,1.5624082152063619
1998,2019-03-25,6,0.5713477078857998,0.9379634428286194,2.109517492472524,0.9379634428286194,2.109517492472524,0.8546023223622636,1.9204896204886392,0.8546023223622636,1.9204896204886392
1999,2019-03-25,7,0.5775860977558064,1.0176935864594796,2.2892587768768182,1.0176935864594796,2.2892587768768182,0.9276614063135843,2.0850752751586312,0.9276614063135843,2.0850752751586312
2000,2019-03-25,8,0.5834425887914411,0.951094458953785,2.139307993434721,0.951094458953785,2.139307993434721,0.8657431109022207,1.9457695164816196,0.8657431109022207,1.9457695164816196
2001,2019-03-25,9,0.5792026602089132,0.8770853039786196,1.9720917895369083,0.8770853039786196,1.9720917895369083,0.7977775324957105,1.792305039723476,0.7977775324957105,1.792305039723476
