,diesel_genset_replacement_storage_4hr_CHARGE,diesel_genset_replacement_storage_4hr_DISCHARGE,diesel_genset_replacement_storage_4hr_STATE_OF_CHARGE
155,-0.0,0.0,171.739782085944
156,-0.0,0.0,171.739782085944
157,-0.0,0.0,171.739782085944
158,-0.0,0.0,171.739782085944
159,-0.0,0.0,171.739782085944
160,-0.0,0.0,171.739782085944
161,-0.0,0.0,171.739782085944
162,-0.0,0.0,171.739782085944
163,-0.0,0.0,171.739782085944
164,-0.0,0.0,171.739782085944
165,-0.0,0.0,171.739782085944
166,-0.0,0.0,171.739782085944
167,-0.0,0.0,171.739782085944
168,-0.0,0.0,171.739782085944
169,-0.0,0.0,171.739782085944
170,-0.0,0.0,171.739782085944
171,-0.0,0.0,171.739782085944
172,-0.0,0.0,171.739782085944
173,-0.0,0.0,171.739782085944
174,-0.0,0.0,171.739782085944
175,-0.0,0.0,171.739782085944
176,-0.0,0.0,171.739782085944
177,-0.0,0.0,171.739782085944
178,-0.0,0.0,171.739782085944
179,-0.0,0.0,171.739782085944
180,-0.0,0.0,171.739782085944
181,-0.0,0.0,171.739782085944
182,-0.0,0.0,171.739782085944
183,-0.0,0.0,171.739782085944
184,-0.0,0.0,171.739782085944
185,-0.0,0.0,171.739782085944
186,-0.0,0.0,171.739782085944
187,-0.0,0.0,171.739782085944
188,-0.0,0.0,171.739782085944
189,-0.0,0.0,171.739782085944
190,-0.0,0.0,171.739782085944
191,-0.0,0.0,171.739782085944
192,-0.0,0.0,171.739782085944
193,-0.0,0.0,171.739782085944
194,-0.0,0.0,171.739782085944
195,-0.0,0.0,171.73978208594397
196,-0.0,67.97671765588336,91.76717307902238
197,-163.20294203350588,91.97681865268378,146.76209316819444
198,-171.739782085944,19.976633018734002,294.9999540556279
199,-0.0,0.0,294.9999540556278
200,-0.0,0.0,294.9999540556278
201,-0.0,0.0,294.9999540556278
202,-0.0,0.0,294.9999540556278
203,-0.0,0.0,294.9999540556278
204,-0.0,0.0,294.9999540556278
205,-0.0,0.0,294.9999540556278
206,-0.0,0.0,294.9999540556278
207,-0.0,0.0,294.9999540556278
208,-0.0,34.97682137964093,253.8507524325208
209,-0.0,58.977053078107,184.46598410533616
210,-0.0,28.97747313489439,150.37483924075454
211,-0.0,55.978291949011194,84.51802518309434
212,-0.0,0.0,84.51802518309437
213,-0.0,0.0,84.51802518309437
214,-0.0,0.0,84.51802518309437
215,-0.0,0.0,84.51802518309437
216,-0.0,0.0,84.51802518309437
217,-0.0,0.0,84.51802518309437
218,-0.0,5.977676772650297,77.48546427409401
219,-0.0,8.977291621801704,66.9239447190332
