,resource,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,Units
42,FCZ7.Commercial.Miscellaneous.Heating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
43,FCZ7.Commercial.Miscellaneous.IndoorLightingEff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
44,FCZ7.Commercial.Miscellaneous.OfficeEquipment,0.00056628,0.0,0.021476619,0.013678398999999997,0.013299209000000006,0.0,0.022409070000000003,0.0027526699999999987,0.0017482559999999897,0.00046054900000000454,MW
45,FCZ7.Commercial.Miscellaneous.OutdoorLighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
46,FCZ7.Commercial.Miscellaneous.Refrigeration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
47,FCZ7.Commercial.Miscellaneous.Ventilation,0.0067304669999999995,0.006083373,0.005488414999999999,0.018399571,0.017689808000000005,0.016830844999999994,0.020505960000000007,0.019633783999999998,0.019128700000000002,0.018486770999999996,MW
48,FCZ7.Commercial.Miscellaneous.WaterHeating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
49,FCZ7.Commercial.Office.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
50,FCZ7.Commercial.Office.Heating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
51,FCZ7.Commercial.Office.IndoorLightingEff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
52,FCZ7.Commercial.Office.OfficeEquipment,0.002082226,0.0,0.078970103,0.05029584000000002,0.04890154799999999,0.0,0.08239875399999994,0.010121641000000015,0.006428382999999982,0.0016934510000000125,MW
53,FCZ7.Commercial.Office.OutdoorLighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
54,FCZ7.Commercial.Office.Refrigeration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
55,FCZ7.Commercial.Office.Ventilation,0.033524275,0.030301115999999996,0.027337645999999993,0.09164776300000002,0.08811245200000001,0.08383397899999998,0.102139634,0.0977953439999999,0.09527953400000014,0.09208210200000008,MW
