"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
LDWP,"2/4/2019 8 p.m. PST",3504,3518,3167,-337
LDWP,"2/4/2019 9 p.m. PST",3434,3422,2989,-445
LDWP,"2/4/2019 10 p.m. PST",3294,3230,2839,-455
LDWP,"2/4/2019 11 p.m. PST",3068,2964,2595,-473
LDWP,"2/5/2019 12 a.m. PST",2836,2723,2529,-307
LDWP,"2/5/2019 1 a.m. PST",2655,2572,2516,-139
LDWP,"2/5/2019 2 a.m. PST",2532,2526,2437,-95
LDWP,"2/5/2019 3 a.m. PST",2457,2440,2351,-106
LDWP,"2/5/2019 4 a.m. PST",2430,2470,2316,-114
LDWP,"2/5/2019 5 a.m. PST",2474,2552,2326,-148
LDWP,"2/5/2019 6 a.m. PST",2642,2734,2563,-79
LDWP,"2/5/2019 7 a.m. PST",2956,2967,2868,-87
LDWP,"2/5/2019 8 a.m. PST",3149,3079,2954,-195
LDWP,"2/5/2019 9 a.m. PST",3241,3136,3093,-148
LDWP,"2/5/2019 10 a.m. PST",3292,3170,3158,-134
LDWP,"2/5/2019 11 a.m. PST",3263,3181,3161,-102
LDWP,"2/5/2019 12 p.m. PST",3249,3170,3187,-63
LDWP,"2/5/2019 1 p.m. PST",3129,3146,3038,-90
LDWP,"2/5/2019 2 p.m. PST",3059,3115,2815,-244
LDWP,"2/5/2019 3 p.m. PST",3058,3087,2857,-201
LDWP,"2/5/2019 4 p.m. PST",3099,3053,3044,-55
LDWP,"2/5/2019 5 p.m. PST",3186,3136,3054,-132
LDWP,"2/5/2019 6 p.m. PST",3431,3376,3314,-117
LDWP,"2/5/2019 7 p.m. PST",3604,3578,3529,-75
LDWP,"2/5/2019 8 p.m. PST",3591,3635,3449,-142
LDWP,"2/5/2019 9 p.m. PST",3575,3604,3263,-312
LDWP,"2/5/2019 10 p.m. PST",3440,3488,3210,-230
LDWP,"2/5/2019 11 p.m. PST",3228,3298,2991,-237
LDWP,"2/6/2019 12 a.m. PST",2987,3035,2827,-160
LDWP,"2/6/2019 1 a.m. PST",2806,2614,2761,-45
LDWP,"2/6/2019 2 a.m. PST",2691,2578,2835,144
LDWP,"2/6/2019 3 a.m. PST",2631,2517,2776,145
LDWP,"2/6/2019 4 a.m. PST",2615,2498,2713,98
LDWP,"2/6/2019 5 a.m. PST",2671,2582,2783,112
LDWP,"2/6/2019 6 a.m. PST",2850,2770,3069,219
LDWP,"2/6/2019 7 a.m. PST",3149,2940,3065,-85
LDWP,"2/6/2019 8 a.m. PST",3331,3053,3256,-75
LDWP,"2/6/2019 9 a.m. PST",3377,3095,3390,13
LDWP,"2/6/2019 10 a.m. PST",3336,3081,3326,-9
LDWP,"2/6/2019 11 a.m. PST",3282,3055,3195,-87
LDWP,"2/6/2019 12 p.m. PST",3473,3014,3175,-298
LDWP,"2/6/2019 1 p.m. PST",3403,2969,3131,-272
LDWP,"2/6/2019 2 p.m. PST",3379,2943,3004,-375
LDWP,"2/6/2019 3 p.m. PST",3362,2953,2895,-467
LDWP,"2/6/2019 4 p.m. PST",3183,2982,2890,-293
LDWP,"2/6/2019 5 p.m. PST",3244,3095,2991,-253
LDWP,"2/6/2019 6 p.m. PST",3466,3359,3270,-196
LDWP,"2/6/2019 7 p.m. PST",3646,3587,3534,-111
LDWP,"2/6/2019 8 p.m. PST",3659,3561,3650,-9
LDWP,"2/6/2019 9 p.m. PST",3634,3478,3672,38
LDWP,"2/6/2019 10 p.m. PST",3508,3321,3471,-37
LDWP,"2/6/2019 11 p.m. PST",3292,3114,3247,-45
LDWP,"2/7/2019 12 a.m. PST",3057,2908,3079,22
LDWP,"2/7/2019 1 a.m. PST",2842,2659,2781,-61
LDWP,"2/7/2019 2 a.m. PST",2733,2625,2678,-55
LDWP,"2/7/2019 3 a.m. PST",2664,2566,2567,-97
LDWP,"2/7/2019 4 a.m. PST",2645,2548,2538,-107
LDWP,"2/7/2019 5 a.m. PST",2699,2633,2567,-133
LDWP,"2/7/2019 6 a.m. PST",2875,2821,2703,-172
LDWP,"2/7/2019 7 a.m. PST",3184,2992,2898,-286
LDWP,"2/7/2019 8 a.m. PST",3330,3105,3150,-180
LDWP,"2/7/2019 9 a.m. PST",3391,3144,3214,-177
LDWP,"2/7/2019 10 a.m. PST",3399,3131,3199,-200
LDWP,"2/7/2019 11 a.m. PST",3349,3105,3213,-136
LDWP,"2/7/2019 12 p.m. PST",3274,3063,3175,-99
LDWP,"2/7/2019 1 p.m. PST",3425,3019,3208,-217
LDWP,"2/7/2019 2 p.m. PST",3567,2993,3284,-282
LDWP,"2/7/2019 3 p.m. PST",3632,3002,3329,-303
LDWP,"2/7/2019 4 p.m. PST",3527,3030,3194,-333
LDWP,"2/7/2019 5 p.m. PST",3208,3144,2971,-238
LDWP,"2/7/2019 6 p.m. PST",3387,3407,3113,-274
LDWP,"2/7/2019 7 p.m. PST",3539,3635,3365,-175
LDWP,"2/7/2019 8 p.m. PST",3546,3609,3311,-236
LDWP,"2/7/2019 9 p.m. PST",3516,3523,3244,-272
LDWP,"2/7/2019 10 p.m. PST",3402,3366,3153,-248
LDWP,"2/7/2019 11 p.m. PST",3194,3160,2989,-206
LDWP,"2/8/2019 12 a.m. PST",2966,2954,2877,-89
LDWP,"2/8/2019 1 a.m. PST",2784,2780,2497,-286
LDWP,"2/8/2019 2 a.m. PST",2670,2664,2466,-204
LDWP,"2/8/2019 3 a.m. PST",2608,2593,2557,-51
LDWP,"2/8/2019 4 a.m. PST",2589,2563,2507,-82
LDWP,"2/8/2019 5 a.m. PST",2643,2649,2520,-123
LDWP,"2/8/2019 6 a.m. PST",2820,2891,2669,-152
LDWP,"2/8/2019 7 a.m. PST",3125,3124,2874,-251
LDWP,"2/8/2019 8 a.m. PST",3287,3208,3165,-122
