,ci_shed_nonwatersystem,FCZ7.Commercial.Hotel.Ventilation,FCZ7.Commercial.Miscellaneous.Ventilation
0,0.0,0.001004408470583496,0.0028131029981580324
1,0.0,0.000998289642611976,0.0028265304211628397
2,0.0,0.000994056535670088,0.002871855102209925
3,0.0,0.00099424010582292,0.002894012856257244
4,0.0,0.000990224829026928,0.002916126956495601
5,0.0,0.001019447465096016,0.003163935906550662
6,0.0,0.001044375432214224,0.0034573344421034605
7,0.0,0.00107664716043324,0.0037274089682871807
8,0.0,0.001096719565052496,0.0037098832360472
9,0.0,0.001114292380592688,0.003613677119632227
10,0.0,0.0011298524809503362,0.0034583709542128616
11,0.0,0.00112513741969992,0.0033351740363548738
12,0.0,0.001124737908711912,0.0032389019479023657
13,0.0,0.0011419059674748,0.0032227293087480654
14,0.0,0.0011450243692836962,0.00322002818388789
15,0.0,0.001153150707977136,0.0032198124993424075
16,0.0,0.0011459591367589202,0.003223459227894216
17,0.0,0.001124081606448504,0.0032758075887361557
18,0.0,0.0011020602789279601,0.003120035062527894
19,0.0,0.00107722934857956,0.0028883068807525826
20,0.0,0.001058353602373848,0.0026789320134737427
21,0.0,0.0010421093855565362,0.002679917508643284
22,0.0,0.001033455388947432,0.002728642233165693
23,0.0,0.0010173231713552161,0.002766995886861264
24,0.0,0.001010041196619048,0.002781815183902605
25,0.0,0.0010093171728984961,0.0027231712990296053
26,0.0,0.001004879000466264,0.0027552645280795227
27,0.0,0.0010029932144915762,0.002788029774067989
28,0.0,0.000997380785262048,0.002838898334052507
29,0.0,0.000994963260165336,0.0028815368587980237
30,0.0,0.0010055052390728402,0.0028626483550608177
31,0.0,0.001027912015500744,0.002854979210019729
32,0.0,0.0010561186393055761,0.0028313453501413706
33,0.0,0.00108504513920352,0.0026959102087623387
34,0.0,0.0010970278990859762,0.002577971333638761
35,0.0,0.0010952975487706562,0.0024348879655100757
36,0.0,0.001096467848347608,0.0023763550727683744
37,0.0,0.0010986750385482962,0.0023598729667414138
38,0.0,0.001102283043422088,0.0023581616108973237
39,0.0,0.0011013058299246961,0.00236277762092367
40,0.0,0.001106435417755272,0.0023667961539334923
41,0.0,0.0010948311473270161,0.0024361220437477947
42,0.0,0.00108378544128096,0.002496648796955445
43,0.0,0.001068415442482344,0.002561871423910863
44,0.0,0.001056135678526632,0.0026158242607809325
45,0.0,0.001046913662125584,0.002647200123005655
46,0.0,0.0010378200849049438,0.0026646902981884743
47,0.0,0.001026892423878288,0.002665180040619729
48,0.0,0.001017824871912816,0.0027090168173271242
49,0.0,0.001022637201668808,0.0026557098966445768
50,0.0,0.001018320454350936,0.0027139346820679528
51,0.0,0.0010148352443417762,0.0027435152662555616
52,0.0,0.001016044665934848,0.0027275535397456407
53,0.0,0.001010611474727712,0.00277760228173629
