Facility Id,Facility Name,Facility  Status,Location  Street Address,Location  City,Location  State,Location  Zip,Locatino  Zip Four,Location  Area Code,Location  Phone Number,Location  Phone Extension,Location  Rep First,Location  Rep Last,Location  County Identity,Utm East,Utm North,Application  Date,Application  Number,Application  Status,Application  Type,Permit Number,Permit Status,PO Issue Date,BCAT Number,BCAT Description,CCAT Number,CCAT  Description,Naics Code,Sic Code1,Sic Code2,Emi Amt Av30 Co,Emi Amt Av30 Nox,Emi Amt Av30 Pm10,Emi Amt Av30 Rog,Emi Amt Av30 Sox,Emi Amt Av30 Tog,Operation  Days Per Week,Operation  Hours Per Day,Operation  Weeks Per Year
29227,INDIO CITY,A,46-800 JACKSON POLICE DEPT,INDIO,CA,92201,6099,760,3473070,     ,SAMMY,MIZELL,RV  ,0,0,11/20/1998,347736,31,96,F17741,ACTIVE      ,12/2/1998,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,921110,9221,    ,0,0,0,0,0,0,1,1,29
29411,"LA CO., SHERIFF'S DEPT",A,441 BAUCHET ST,LOS ANGELES,CA,90012,    ,626,3003000,     ,COMPLIANCE,OFFICER,LA  ,386.4299927,3769.22998,4/12/2001,385186,31,63,F39236,ACTIVE      ,4/27/2001,043902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,922120,9221,    ,0,0,0,0,0,0,1,0,52
29411,"LA CO., SHERIFF'S DEPT",A,441 BAUCHET ST,LOS ANGELES,CA,90012,    ,626,3003000,     ,COMPLIANCE,OFFICER,LA  ,386.4299927,3769.22998,4/12/2001,385187,31,63,F39230,ACTIVE      ,4/27/2001,043902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,922120,9221,    ,0,0,0,0,0,0,1,0,52
29411,"LA CO., SHERIFF'S DEPT",A,441 BAUCHET ST,LOS ANGELES,CA,90012,    ,626,3003000,     ,COMPLIANCE,OFFICER,LA  ,386.4299927,3769.22998,8/13/2010,513816,31,10,G14238,ACTIVE      ,7/13/2011,043902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,922120,9221,    ,0.09,1.68,0.01,0.04,0,0,1,1,50
29454,"REDLANDS CITY, GARAGE",A,1270 W PARK AVE BLDG E,REDLANDS,CA,92373,    ,909,7987567,     ,MICHAEL,SEPULVEDA,SB  ,481.3900146,3768.550049,5/19/2006,457084,31,30,F85183,ACTIVE      ,11/9/2006,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,921110,7500,    ,0,0,0,0,0,0,1,1,20
29454,"REDLANDS CITY, GARAGE",A,1270 W PARK AVE BLDG E,REDLANDS,CA,92373,    ,909,7987567,     ,MICHAEL,SEPULVEDA,SB  ,481.3900146,3768.550049,2/24/2012,533563,31,30,G40256,ACTIVE      ,5/12/2016,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,921110,7500,    ,0.05,0.12,0,0,0,0,1,1,50
29454,"REDLANDS CITY, GARAGE",A,1270 W PARK AVE BLDG E,REDLANDS,CA,92373,    ,909,7987567,     ,MICHAEL,SEPULVEDA,SB  ,481.3900146,3768.550049,4/22/2014,563799,31,96,G31917,ACTIVE      ,7/8/2014,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,921110,7500,    ,0.06,0.16,0.01,0.01,0,0,1,1,50
29470,"LA CITY, DEPT OF GEN SERVICES",A,151 N SAN PEDRO ST,LOS ANGELES,CA,90012,    ,213,4853177,     ,V,YEGIYAN,LA  ,385.4100037,3768.188965,12/29/1992,275970,31,96,D68571,ACTIVE      ,1/22/1993,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,921190,7538,    ,0,1,0,0,0,0,1,1,29
29470,"LA CITY, DEPT OF GEN SERVICES",A,151 N SAN PEDRO ST,LOS ANGELES,CA,90012,    ,213,4853177,     ,V,YEGIYAN,LA  ,385.4100037,3768.188965,10/29/1998,346911,31,30,F18361,ACTIVE      ,12/18/1998,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,921190,7538,    ,0,0,0,0,0,0,1,1,29
29550,"LA CO., SHERIFF'S DEPT.",A,5019 E 3RD ST,LOS ANGELES,CA,90022,1632,562,3471043,     ,GABE,OLAGUE,LA  ,393.1080017,3766.271973,3/28/1989,189405,31,19,D14715,ACTIVE      ,3/14/1990,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,922120,9199,    ,0,0,0,0,0,0,1,1,52
29615,SO CAL GAS CO,A,3124 W 36TH ST,LOS ANGELES,CA,90018,3605,310,5782667,     ,BRYAN,GORDON,LA  ,377.2130127,3765.303955,5/30/2017,594649,31,96,G46825,ACTIVE      ,6/8/2017,043901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,221210,4923,    ,0.03,0.11,0,0,0,0,1,1,50
29623,SO CAL EDISON CO,A,28256 GATEWAY VILLAGE DR,SANTA CLARITA,CA,91355,    ,818,3029536,     ,P R,WELSING,LA  ,354.7820129,3811.461914,8/20/2019,615325,31,96,G59163,ACTIVE      ,10/10/2019,043902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,221122,4911,    ,0.17,1.13,0.01,0.02,0,0.02,1,1,50
29936,CENTRAL VALLEY FIRE DISTRICT,A,15380 SAN BERNARDINO AVE,FONTANA,CA,92335,5345,909,8294441,     ,DAN,BOWLING,SB  ,456.6900024,3770.649902,2/7/2002,397195,31,96,F48714,ACTIVE      ,2/7/2002,043902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,238220,    ,    ,0,0,0,0,0,0,1,1,29
