Facility Id,Facility Name,Facility  Status,Location  Street Address,Location  City,Location  State,Location  Zip,Locatino  Zip Four,Location  Area Code,Location  Phone Number,Location  Phone Extension,Location  Rep First,Location  Rep Last,Location  County Identity,Utm East,Utm North,Application  Date,Application  Number,Application  Status,Application  Type,Permit Number,Permit Status,PO Issue Date,BCAT Number,BCAT Description,CCAT Number,CCAT  Description,Naics Code,Sic Code1,Sic Code2,Emi Amt Av30 Co,Emi Amt Av30 Nox,Emi Amt Av30 Pm10,Emi Amt Av30 Rog,Emi Amt Av30 Sox,Emi Amt Av30 Tog
100499,ANTELOPE VALLEY REHAB. CENTER - ACTON,A,30500 ARRASTRE CYN RD,ACTON,CA,93510,    ,661,2690144,     ,BERT,HAYMAN,LA  ,390.3900146,3810.899902,2/10/94,289599,31,96,D80634,ACTIVE      ,2/15/94,43902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,622210,8000,    ,0,6,0,0,0,0
100542,AUTRY NATIONAL CENTER,A,4700 WESTERN HERITAGE WAY,LOS ANGELES,CA,90027,    ,32,6672000,     ,MIKE,GARCIA,LA  ,381.5299988,3778.766113,2/15/94,289721,31,30,D81215,ACTIVE      ,3/11/94,43902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,712110,8400,    ,1,3,0,0,0,0
100545,SAN BERNARDINO INTL AIRPORT AUTHORITY,A,VARIOUS LOCATIONS IN SCAQMD,SAN BERNARDINO,CA,92408,    ,909,3822392,     ,LILLAND,VALLE,SB  ,476.9299927,3773.070068,2/14/94,289730,31,40,D80671,ACTIVE      ,2/16/94,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,488119,4512,4510,0.142,0.658,0.022,0.044,0.011,0
100545,SAN BERNARDINO INTL AIRPORT AUTHORITY,A,VARIOUS LOCATIONS IN SCAQMD,SAN BERNARDINO,CA,92408,    ,909,3822392,     ,LILLAND,VALLE,SB  ,476.9299927,3773.070068,2/14/94,289734,31,40,D80674,ACTIVE      ,2/16/94,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,488119,4512,4510,0.225,1.041,0.038,0.071,0.016,0
100583,SOUTH LAKE AVENUE INVESTORS LLC,A,225 S LAKE AVE,PASADENA,CA,91101,3005,626,7925161,     ,ARMAND,ALVARADO,LA  ,395.6000061,3778.280029,8/15/13,555361,31,20,G43080,ACTIVE      ,10/5/16,43902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,561110,6000,    ,0,1.3,0,0,0,0
100600,RIVERSIDE COUNTY,A,3933 HARRISON ST,RIVERSIDE,CA,92503,    ,951,3584200,     ,DAVE,SMITH,RV  ,458.019989,3753.219971,2/15/13,547516,31,10,G24411,ACTIVE      ,5/14/13,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,922140,9223,    ,0.05,0.32,0,0,0,0
100693,DREYER'S GRAND ICE CREAM INC,A,351 CHERYL LN,CITY OF INDUSTRY,CA,91789,    ,510,6014398,     ,RANDY P.,REGAN,LA  ,422.019989,3763.97998,3/1/94,290233,31,10,D81598,ACTIVE      ,3/24/94,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,424430,2020,    ,0,0,0,0,0,0
100722,"LA CITY, DEPT OF GEN SERVICES",A,1658 BUTLER AVE,LOS ANGELES,CA,90025,    ,310,5758427,     ,SARKIS ,ABRAHAMIAN ,LA  ,366.1000061,3767.790039,12/23/98,348687,31,96,F18492,ACTIVE      ,12/29/98,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,512240,7538,    ,0,1,0,0,0,0
100733,DEPENDABLE HIGHWAY EXPRESS,A,2555 E OLYMPIC BLVD,LOS ANGELES,CA,90023,    ,213,5262222,     ,BEATRIZ,BELTRAN,LA  ,387.0390015,3765.466064,3/3/94,290454,31,40,D81171,ACTIVE      ,3/9/94,44901,I C E (50-500 HP) EM FIRE FGHT-DIESEL,  ,,484121,4200,    ,0.389,1.808,0.126,0.121,0.027,0
100733,DEPENDABLE HIGHWAY EXPRESS,A,2555 E OLYMPIC BLVD,LOS ANGELES,CA,90023,    ,213,5262222,     ,BEATRIZ,BELTRAN,LA  ,387.0390015,3765.466064,3/3/94,290455,31,40,D81172,ACTIVE      ,3/9/94,44901,I C E (50-500 HP) EM FIRE FGHT-DIESEL,  ,,484121,4200,    ,0.389,1.808,0.126,0.121,0.027,0
