resource,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,lcoe_type
FCZ7.Commercial.Miscellaneous.IndoorLightingEff,32.66666667,31.71521036,30.79146637,30.19967476,29.61623493,29.32869867,29.03278757,28.4582029,27.89245961,19.41589055,15.37794091,14.20761844,15.19656407,16.79679972,17.85018076,18.40004249,no_emissions
FCZ7.Commercial.Miscellaneous.OfficeEquipment,7.999999999,7.76699029,7.540767272,7.321133274,7.107896382,6.900870274,6.699874052,6.50473209,6.052137463,5.109444884,2.232281745,2.16726383,2.104139641,2.04285402,1.983353417,1.925585842,no_emissions
FCZ7.Commercial.Miscellaneous.OutdoorLighting,37.33333333,36.24595469,35.19024727,34.16528862,33.17018312,32.20406128,31.26607892,30.35541642,29.73441449,29.63478032,36.46060183,35.39864255,34.36761413,33.36661566,32.39477248,31.45123542,no_emissions
FCZ7.Commercial.Miscellaneous.Refrigeration,4,3.883495146,3.770383637,3.965613857,4.146272892,4.600580184,5.024905541,5.691640579,6.841546697,14.05097343,13.88975308,13.48519716,13.09242443,12.71109168,12.34086571,11.98142302,no_emissions
FCZ7.Commercial.Miscellaneous.Ventilation,4,3.883495146,3.770383637,3.660566638,3.553948192,3.450435138,3.349937027,3.252366046,3.157636937,3.06566693,2.97637566,2.889685107,2.805519521,2.72380536,2.644471223,2.56744779,no_emissions
FCZ7.Commercial.Miscellaneous.WaterHeating,29.33333333,28.4789644,27.64948,26.84415534,26.06228674,25.30319101,24.56620486,23.85068433,23.15600421,22.48155748,21.82675484,21.19102411,20.57380982,19.97457264,19.39278897,18.82795046,no_emissions
FCZ7.Commercial.Office.Cooling,36.66666667,35.5987055,34.56185,32.02995807,31.68937138,31.34145249,31.54524033,30.08438592,28.68186884,28.10194685,27.28344355,26.48878014,25.95105557,25.42218335,25.34284923,25.46052391,no_emissions
FCZ7.Commercial.Office.Heating,92.99999999,90.29126213,87.66141954,84.49807988,81.44464606,78.49739939,76.7693902,74.80441902,72.88878597,71.02128389,69.20073408,66.94437165,64.76074227,62.1935557,59.28022994,56.48385138,no_emissions
FCZ7.Commercial.Office.IndoorLightingEff,32.66666667,31.71521036,30.79146637,30.19967476,29.61623493,29.32869867,29.03278756,28.4582029,27.89245961,19.41589055,15.37794091,14.20761844,15.19656407,16.79679972,17.85018076,18.40004249,no_emissions
FCZ7.Commercial.Office.OfficeEquipment,7.999999998,7.766990289,7.540767271,7.321133273,7.107896381,6.900870273,6.699874052,6.504732089,6.052137463,5.109444882,2.232281745,2.16726383,2.104139641,2.04285402,1.983353418,1.925585842,no_emissions
FCZ7.Commercial.Office.OutdoorLighting,37.33333333,36.24595469,35.19024728,34.16528862,33.17018312,32.20406128,31.26607892,30.35541642,29.73441449,29.63478032,36.46060183,35.39864255,34.36761413,33.36661566,32.39477249,31.45123542,no_emissions
FCZ7.Commercial.Office.Refrigeration,4,3.883495145,3.770383636,3.965613857,4.146272891,4.600580182,5.024905541,5.691640579,6.841546697,14.05097343,13.88975308,13.48519716,13.09242443,12.71109168,12.34086571,11.98142302,no_emissions
FCZ7.Commercial.Office.Ventilation,4,3.883495146,3.770383637,3.660566638,3.553948192,3.450435138,3.349937027,3.252366046,3.157636937,3.06566693,2.97637566,2.889685107,2.805519521,2.72380536,2.644471223,2.56744779,no_emissions
FCZ7.Commercial.Office.WaterHeating,29.33333333,28.4789644,27.64948,26.84415534,26.06228674,25.30319101,24.56620486,23.85068433,23.15600421,22.48155748,21.82675484,21.19102411,20.57380982,19.97457264,19.39278897,18.82795046,no_emissions
FCZ7.Commercial.Refrigerated Warehouse.Cooling,36.66666666,35.5987055,34.56185,32.02995808,31.68937137,31.3414525,31.54524033,30.08438592,28.68186885,28.10194685,27.28344354,26.48878014,25.95105557,25.42218336,25.34284922,25.46052391,no_emissions
FCZ7.Commercial.Refrigerated Warehouse.Heating,92.99999999,90.29126213,87.66141954,84.49807987,81.44464605,78.49739939,76.76939019,74.80441904,72.88878596,71.02128387,69.20073408,66.94437163,64.76074227,62.19355572,59.28022993,56.48385138,no_emissions
FCZ7.Commercial.Refrigerated Warehouse.IndoorLightingEff,32.66666667,31.71521036,30.79146637,30.19967476,29.61623493,29.32869867,29.03278756,28.4582029,27.89245961,19.41589055,15.37794091,14.20761844,15.19656407,16.79679972,17.85018076,18.40004249,no_emissions
FCZ7.Commercial.Refrigerated Warehouse.OfficeEquipment,7.999999999,7.76699029,7.540767272,7.321133274,7.107896382,6.900870274,6.699874052,6.50473209,6.052137461,5.109444882,2.232281745,2.16726383,2.10413964,2.04285402,1.983353417,1.925585842,no_emissions
FCZ7.Commercial.Refrigerated Warehouse.OutdoorLighting,37.33333334,36.24595469,35.19024728,34.16528862,33.17018312,32.20406129,31.26607892,30.35541643,29.73441449,29.63478032,36.46060183,35.39864256,34.36761413,33.36661566,32.39477249,31.45123542,no_emissions
FCZ7.Commercial.Refrigerated Warehouse.Refrigeration,4,3.883495146,3.770383637,3.965613857,4.14627289,4.600580183,5.02490554,5.691640578,6.841546698,14.05097342,13.88975308,13.48519716,13.09242443,12.71109168,12.34086571,11.98142302,no_emissions
FCZ7.Commercial.Refrigerated Warehouse.Ventilation,4,3.883495145,3.770383636,3.660566637,3.553948191,3.450435137,3.349937026,3.252366045,3.157636937,3.065666929,2.976375659,2.889685106,2.80551952,2.72380536,2.644471223,2.567447789,no_emissions
FCZ7.Commercial.Refrigerated Warehouse.WaterHeating,29.33333334,28.4789644,27.64948,26.84415534,26.06228674,25.30319101,24.56620487,23.85068433,23.15600421,22.48155748,21.82675484,21.19102412,20.57380982,19.97457264,19.39278897,18.82795046,no_emissions
FCZ7.Commercial.Restaurant.Cooling,36.66666667,35.5987055,34.56185,32.02995808,31.68937137,31.3414525,31.54524034,30.08438592,28.68186885,28.10194685,27.28344355,26.48878014,25.95105557,25.42218336,25.34284922,25.46052391,no_emissions
FCZ7.Commercial.Restaurant.Heating,92.99999998,90.29126212,87.66141953,84.49807991,81.44464607,78.49739938,76.76939021,74.80441904,72.88878599,71.02128387,69.20073407,66.94437164,64.76074229,62.1935557,59.2802299,56.48385139,no_emissions
FCZ7.Commercial.Restaurant.IndoorLightingEff,32.66666667,31.71521036,30.79146637,30.19967476,29.61623493,29.32869867,29.03278757,28.4582029,27.89245961,19.41589055,15.37794091,14.20761844,15.19656407,16.79679972,17.85018076,18.40004249,no_emissions
FCZ7.Commercial.Restaurant.OfficeEquipment,7.999999997,7.766990288,7.54076727,7.321133272,7.10789638,6.900870272,6.699874051,6.504732088,6.052137462,5.109444883,2.232281745,2.16726383,2.104139641,2.04285402,1.983353418,1.925585842,no_emissions
FCZ7.Commercial.Restaurant.OutdoorLighting,37.33333333,36.24595469,35.19024728,34.16528862,33.17018312,32.20406128,31.26607892,30.35541642,29.73441449,29.63478032,36.46060183,35.39864255,34.36761413,33.36661566,32.39477249,31.45123542,no_emissions
FCZ7.Commercial.Restaurant.Refrigeration,4,3.883495146,3.770383636,3.965613857,4.14627289,4.600580184,5.024905538,5.691640579,6.841546696,14.05097343,13.88975308,13.48519716,13.09242443,12.71109168,12.34086571,11.98142302,no_emissions
FCZ7.Commercial.Restaurant.Ventilation,4,3.883495146,3.770383636,3.660566637,3.553948192,3.450435137,3.349937027,3.252366045,3.157636937,3.065666929,2.97637566,2.889685106,2.805519521,2.72380536,2.644471223,2.56744779,no_emissions
FCZ7.Commercial.Restaurant.WaterHeating,29.33333333,28.4789644,27.64948,26.84415534,26.06228674,25.30319101,24.56620486,23.85068433,23.15600421,22.48155748,21.82675484,21.19102411,20.57380982,19.97457264,19.39278897,18.82795046,no_emissions
