cost_type,end_use,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
weighted_avg_eul,Appliance,9.7,9.7,9.7,9.7,9.8,9.9,9.9,10,10.1,10.1,10.1,10,10.1,10.1,10.2,10.2,10.2,10.3,10.3,10.3
weighted_avg_eul,Behavior,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
weighted_avg_eul,Building Shell,18.6,18.8,19.1,19.4,20.1,24,26.8,30.7,50.1,93.4,43.1,47.2,69.6,136.8,710.8,,,,,
weighted_avg_eul,Cooling,7.8,8,8.1,8.3,8.6,9.1,9.4,9.8,10.2,10.7,10.9,11.4,11.7,11.9,12.3,12.3,12.9,13,13.1,12.9
weighted_avg_eul,Electronics,6.2,6.1,6,5.9,5.6,4.7,4.5,4.4,4.3,4.1,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.8,3.9
weighted_avg_eul,HVAC,7.2,7.2,7.1,6.9,6.6,6.4,6.2,6,5.9,5.9,5.7,6.3,6.4,6.5,6.7,7.8,8.1,8.5,9.3,10.6
weighted_avg_eul,Lighting,18.4,18.5,19,24.2,24.1,22.9,22.7,21.3,19.6,22.4,21.1,21.4,20.7,20.6,20.6,16.9,16.7,16.7,16.6,16.7
weighted_avg_eul,Pools,0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.2,1.1,1.1,1,0.8,0.8,0.7,0.6,0.5,0.5
weighted_avg_eul,Water Heating,15.3,15.3,15.4,15.5,15.6,15.3,15.3,15.3,15.3,15.3,14.2,14.3,19,19.6,20.2,20.2,20.8,21.4,22,22.6
weighted_avg_eul,New Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
first_year_savings,Appliance,45100625,45013558,44670142,44102876,43409844,42655389,41915742,41243766,40659929,40840920,40928899,43046454,42853478,42847541,44070153,43994585,43972016,43857617,44425853,44344151
first_year_savings,Behavior,88051605,88395908,88742972,89092819,89445472,89800954,90159286,90520492,90884595,91251618,91621585,91994519,92370443,92749383,93131361,93516403,93904533,94295776,94690156,95087700
first_year_savings,Building Shell,36933772,28801341,21774300,15912206,10818498,7267251,4490913,2717921,938923,322050,1583978,1207953,627600,239908,34736,0,0,0,0,0
first_year_savings,Cooling,82558431,87292457,92418965,96297837,98304250,111003213,108487817,103143936,95743088,87469360,99306077,90718840,85040813,79548095,75273419,89890047,85338935,82103862,79732151,76397102
first_year_savings,Electronics,36766771,37741360,38451106,39513261,42357918,55133304,58817668,62931167,66168570,68874696,80256692,81617519,81788351,81225894,82566161,91755382,92321901,90949021,89084829,85400035
first_year_savings,HVAC,48304985,47430537,46199558,46952169,49301478,52250988,54324108,55346576,53721081,51669868,47231479,61112496,54142609,46534791,39340251,35036286,29514674,25059880,18745103,13427897
first_year_savings,Lighting,35724795,35957253,32014358,13697738,13302601,14384489,13772976,15530670,19983006,11945029,19004411,18386426,18202017,18057619,17756715,35901655,36136547,36149957,35945267,35552042
first_year_savings,Pools,10020172,10318850,10319210,10021253,9484588,8804793,8080956,7391107,6782714,6275430,8033267,7835951,6931691,6814827,6603851,6336447,6051684,5780326,5541089,5341723
first_year_savings,Water Heating,16546375,16978195,16951934,16806072,16732761,17534428,17794067,17980731,17995220,17919925,21205279,20788838,19926373,19070800,18160183,18285265,17411877,16768176,16157346,15608681
first_year_savings,New Construction,8930346,9001967,9074162,9146936,9220294,9294240,9368779,9443916,9519655,9596002,9672961,9750538,18759082,18909529,19061182,19214051,19368146,19523477,19680054,19837886
