,OPR_DT,OPR_HR,NODE,MW
0,2019-01-01,1,HARBGN_7_UNITS-APND,43.9536
1,2019-01-01,2,HARBGN_7_UNITS-APND,42.485859999999995
2,2019-01-01,3,HARBGN_7_UNITS-APND,41.26137
3,2019-01-01,4,HARBGN_7_UNITS-APND,40.31803
4,2019-01-01,5,HARBGN_7_UNITS-APND,41.307140000000004
5,2019-01-01,6,HARBGN_7_UNITS-APND,44.63176
6,2019-01-01,7,HARBGN_7_UNITS-APND,45.05728
7,2019-01-01,8,HARBGN_7_UNITS-APND,42.35163
8,2019-01-01,9,HARBGN_7_UNITS-APND,36.253190000000004
9,2019-01-01,10,HARBGN_7_UNITS-APND,28.89702
10,2019-01-01,11,HARBGN_7_UNITS-APND,22.40166
11,2019-01-01,12,HARBGN_7_UNITS-APND,18.604029999999998
12,2019-01-01,13,HARBGN_7_UNITS-APND,15.74141
13,2019-01-01,14,HARBGN_7_UNITS-APND,14.55681
14,2019-01-01,15,HARBGN_7_UNITS-APND,21.484360000000002
15,2019-01-01,16,HARBGN_7_UNITS-APND,37.13308
16,2019-01-01,17,HARBGN_7_UNITS-APND,46.85562
17,2019-01-01,18,HARBGN_7_UNITS-APND,57.47243
18,2019-01-01,19,HARBGN_7_UNITS-APND,67.70517
19,2019-01-01,20,HARBGN_7_UNITS-APND,63.42925
20,2019-01-01,21,HARBGN_7_UNITS-APND,57.220180000000006
21,2019-01-01,22,HARBGN_7_UNITS-APND,54.03974
22,2019-01-01,23,HARBGN_7_UNITS-APND,50.37982
23,2019-01-01,24,HARBGN_7_UNITS-APND,47.7768
24,2019-01-02,1,HARBGN_7_UNITS-APND,46.12043
25,2019-01-02,2,HARBGN_7_UNITS-APND,44.87182
26,2019-01-02,3,HARBGN_7_UNITS-APND,44.68627
27,2019-01-02,4,HARBGN_7_UNITS-APND,44.49583
28,2019-01-02,5,HARBGN_7_UNITS-APND,45.72298
29,2019-01-02,6,HARBGN_7_UNITS-APND,47.912040000000005
30,2019-01-02,7,HARBGN_7_UNITS-APND,62.73648000000001
31,2019-01-02,8,HARBGN_7_UNITS-APND,59.491130000000005
32,2019-01-02,9,HARBGN_7_UNITS-APND,45.02512
33,2019-01-02,10,HARBGN_7_UNITS-APND,39.89119
34,2019-01-02,11,HARBGN_7_UNITS-APND,37.032959999999996
35,2019-01-02,12,HARBGN_7_UNITS-APND,34.89008
36,2019-01-02,13,HARBGN_7_UNITS-APND,31.855829999999997
37,2019-01-02,14,HARBGN_7_UNITS-APND,31.77644
38,2019-01-02,15,HARBGN_7_UNITS-APND,34.74968
39,2019-01-02,16,HARBGN_7_UNITS-APND,43.66649
40,2019-01-02,17,HARBGN_7_UNITS-APND,54.90732
41,2019-01-02,18,HARBGN_7_UNITS-APND,79.34319
42,2019-01-02,19,HARBGN_7_UNITS-APND,80.71694000000001
43,2019-01-02,20,HARBGN_7_UNITS-APND,68.80674
44,2019-01-02,21,HARBGN_7_UNITS-APND,63.68727
45,2019-01-02,22,HARBGN_7_UNITS-APND,57.96501
46,2019-01-02,23,HARBGN_7_UNITS-APND,49.954679999999996
47,2019-01-02,24,HARBGN_7_UNITS-APND,45.46188
48,2019-01-03,1,HARBGN_7_UNITS-APND,43.44158
49,2019-01-03,2,HARBGN_7_UNITS-APND,41.922940000000004
50,2019-01-03,3,HARBGN_7_UNITS-APND,43.00909
51,2019-01-03,4,HARBGN_7_UNITS-APND,41.95303
52,2019-01-03,5,HARBGN_7_UNITS-APND,43.929959999999994
53,2019-01-03,6,HARBGN_7_UNITS-APND,47.22287
54,2019-01-03,7,HARBGN_7_UNITS-APND,61.64753
