cost_type,end_use,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
measure_cost_per_first_year_kwh_saved,Interior Lighting,0.92,0.93,0.94,0.96,0.98,0.99,1,0.65,0.5,0.43,0.45,0.54,0.62,0.66,0.69,0.7,0.71,0.71,0.72,0.72
measure_cost_per_first_year_kwh_saved,Exterior Lighting,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.15,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31
measure_cost_per_first_year_kwh_saved,Cooling,1.19,1.11,1.11,1.13,1.15,1.11,1.08,1.08,1.07,1.06,1.07,1.08,1.11,1.16,1.23,1.28,1.38,1.49,1.6,1.73
measure_cost_per_first_year_kwh_saved,Heating,2.7,2.68,2.66,2.64,2.66,2.67,2.68,2.69,2.7,2.69,2.68,2.65,2.6,2.55,2.46,2.41,2.3,2.2,2.11,1.6
measure_cost_per_first_year_kwh_saved,Ventilation,0.16,0.16,0.16,0.16,0.16,0.16,0.16,,,,,,,,,,,,,
measure_cost_per_first_year_kwh_saved,Hot Water,1.74,1.74,1.74,1.74,1.74,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.74,1.74,1.74,1.74,1.74,1.74
measure_cost_per_first_year_kwh_saved,Motors,4.33,4.25,4.15,4.15,4.15,4.16,4.07,0.8,0.79,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
measure_cost_per_first_year_kwh_saved,Plug Loads,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
measure_cost_per_first_year_kwh_saved,Miscellaneous,,,,,,,,,,,,,,,,,,,,
measure_cost_per_first_year_kwh_saved,Whole Building,0.95,0.93,0.88,0.78,0.69,0.59,0.52,0.46,0.41,0.32,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.3,0.3,0.3
measure_cost_per_first_year_kwh_saved,Whole Building_NC,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
measure_cost_per_first_year_kwh_saved,Refrigeration,0.16,0.16,0.18,0.2,0.22,0.26,0.31,0.65,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.64,0.64
measure_cost_per_first_year_kwh_saved,Whole Building_HVAC,0.39,0.4,0.4,0.4,0.4,0.41,0.41,0.41,0.41,0.42,,,,,,,,,,
measure_cost_per_first_year_kwh_saved,Cooking,0.62,0.59,0.56,0.54,0.52,0.49,0.47,0.44,0.42,0.4,0.39,0.36,0.35,0.34,0.33,0.29,0.29,0.29,0.29,0.29
