,day,hour_starting,period,month,rate,units
0,tues,0,base,jan_mar,174.45119999999997,2018$/MWh
1,tues,1,base,jan_mar,174.45119999999997,2018$/MWh
2,tues,2,base,jan_mar,174.45119999999997,2018$/MWh
3,tues,3,base,jan_mar,174.45119999999997,2018$/MWh
4,tues,4,base,jan_mar,174.45119999999997,2018$/MWh
5,tues,5,base,jan_mar,174.45119999999997,2018$/MWh
6,tues,6,base,jan_mar,174.45119999999997,2018$/MWh
7,tues,7,base,jan_mar,174.45119999999997,2018$/MWh
8,tues,8,base,jan_mar,174.45119999999997,2018$/MWh
9,tues,9,base,jan_mar,174.45119999999997,2018$/MWh
10,tues,10,low,jan_mar,197.0496,2018$/MWh
11,tues,11,low,jan_mar,197.0496,2018$/MWh
12,tues,12,low,jan_mar,197.0496,2018$/MWh
13,tues,13,high,jan_mar,197.0496,2018$/MWh
14,tues,14,high,jan_mar,197.0496,2018$/MWh
15,tues,15,high,jan_mar,197.0496,2018$/MWh
16,tues,16,high,jan_mar,197.0496,2018$/MWh
17,tues,17,low,jan_mar,197.0496,2018$/MWh
18,tues,18,low,jan_mar,197.0496,2018$/MWh
19,tues,19,low,jan_mar,197.0496,2018$/MWh
20,tues,20,base,jan_mar,174.45119999999997,2018$/MWh
21,tues,21,base,jan_mar,174.45119999999997,2018$/MWh
22,tues,22,base,jan_mar,174.45119999999997,2018$/MWh
23,tues,23,base,jan_mar,174.45119999999997,2018$/MWh
24,wed,0,base,jan_mar,174.45119999999997,2018$/MWh
25,wed,1,base,jan_mar,174.45119999999997,2018$/MWh
26,wed,2,base,jan_mar,174.45119999999997,2018$/MWh
27,wed,3,base,jan_mar,174.45119999999997,2018$/MWh
28,wed,4,base,jan_mar,174.45119999999997,2018$/MWh
29,wed,5,base,jan_mar,174.45119999999997,2018$/MWh
30,wed,6,base,jan_mar,174.45119999999997,2018$/MWh
31,wed,7,base,jan_mar,174.45119999999997,2018$/MWh
32,wed,8,base,jan_mar,174.45119999999997,2018$/MWh
33,wed,9,base,jan_mar,174.45119999999997,2018$/MWh
34,wed,10,low,jan_mar,197.0496,2018$/MWh
35,wed,11,low,jan_mar,197.0496,2018$/MWh
36,wed,12,low,jan_mar,197.0496,2018$/MWh
37,wed,13,high,jan_mar,197.0496,2018$/MWh
38,wed,14,high,jan_mar,197.0496,2018$/MWh
39,wed,15,high,jan_mar,197.0496,2018$/MWh
40,wed,16,high,jan_mar,197.0496,2018$/MWh
41,wed,17,low,jan_mar,197.0496,2018$/MWh
42,wed,18,low,jan_mar,197.0496,2018$/MWh
43,wed,19,low,jan_mar,197.0496,2018$/MWh
44,wed,20,base,jan_mar,174.45119999999997,2018$/MWh
45,wed,21,base,jan_mar,174.45119999999997,2018$/MWh
46,wed,22,base,jan_mar,174.45119999999997,2018$/MWh
47,wed,23,base,jan_mar,174.45119999999997,2018$/MWh
48,thurs,0,base,jan_mar,174.45119999999997,2018$/MWh
49,thurs,1,base,jan_mar,174.45119999999997,2018$/MWh
50,thurs,2,base,jan_mar,174.45119999999997,2018$/MWh
51,thurs,3,base,jan_mar,174.45119999999997,2018$/MWh
52,thurs,4,base,jan_mar,174.45119999999997,2018$/MWh
53,thurs,5,base,jan_mar,174.45119999999997,2018$/MWh
54,thurs,6,base,jan_mar,174.45119999999997,2018$/MWh
55,thurs,7,base,jan_mar,174.45119999999997,2018$/MWh
56,thurs,8,base,jan_mar,174.45119999999997,2018$/MWh
57,thurs,9,base,jan_mar,174.45119999999997,2018$/MWh
58,thurs,10,low,jan_mar,197.0496,2018$/MWh
59,thurs,11,low,jan_mar,197.0496,2018$/MWh
60,thurs,12,low,jan_mar,197.0496,2018$/MWh
61,thurs,13,high,jan_mar,197.0496,2018$/MWh
62,thurs,14,high,jan_mar,197.0496,2018$/MWh
63,thurs,15,high,jan_mar,197.0496,2018$/MWh
64,thurs,16,high,jan_mar,197.0496,2018$/MWh
65,thurs,17,low,jan_mar,197.0496,2018$/MWh
66,thurs,18,low,jan_mar,197.0496,2018$/MWh
67,thurs,19,low,jan_mar,197.0496,2018$/MWh
68,thurs,20,base,jan_mar,174.45119999999997,2018$/MWh
69,thurs,21,base,jan_mar,174.45119999999997,2018$/MWh
70,thurs,22,base,jan_mar,174.45119999999997,2018$/MWh
71,thurs,23,base,jan_mar,174.45119999999997,2018$/MWh
72,fri,0,base,jan_mar,174.45119999999997,2018$/MWh
73,fri,1,base,jan_mar,174.45119999999997,2018$/MWh
74,fri,2,base,jan_mar,174.45119999999997,2018$/MWh
75,fri,3,base,jan_mar,174.45119999999997,2018$/MWh
76,fri,4,base,jan_mar,174.45119999999997,2018$/MWh
77,fri,5,base,jan_mar,174.45119999999997,2018$/MWh
78,fri,6,base,jan_mar,174.45119999999997,2018$/MWh
79,fri,7,base,jan_mar,174.45119999999997,2018$/MWh
80,fri,8,base,jan_mar,174.45119999999997,2018$/MWh
81,fri,9,base,jan_mar,174.45119999999997,2018$/MWh
82,fri,10,low,jan_mar,197.0496,2018$/MWh
83,fri,11,low,jan_mar,197.0496,2018$/MWh
84,fri,12,low,jan_mar,197.0496,2018$/MWh
85,fri,13,high,jan_mar,197.0496,2018$/MWh
86,fri,14,high,jan_mar,197.0496,2018$/MWh
87,fri,15,high,jan_mar,197.0496,2018$/MWh
88,fri,16,high,jan_mar,197.0496,2018$/MWh
89,fri,17,low,jan_mar,197.0496,2018$/MWh
90,fri,18,low,jan_mar,197.0496,2018$/MWh
91,fri,19,low,jan_mar,197.0496,2018$/MWh
92,fri,20,base,jan_mar,174.45119999999997,2018$/MWh
93,fri,21,base,jan_mar,174.45119999999997,2018$/MWh
94,fri,22,base,jan_mar,174.45119999999997,2018$/MWh
95,fri,23,base,jan_mar,174.45119999999997,2018$/MWh
96,sat,0,base,jan_mar,174.45119999999997,2018$/MWh
97,sat,1,base,jan_mar,174.45119999999997,2018$/MWh
98,sat,2,base,jan_mar,174.45119999999997,2018$/MWh
99,sat,3,base,jan_mar,174.45119999999997,2018$/MWh
100,sat,4,base,jan_mar,174.45119999999997,2018$/MWh
101,sat,5,base,jan_mar,174.45119999999997,2018$/MWh
102,sat,6,base,jan_mar,174.45119999999997,2018$/MWh
103,sat,7,base,jan_mar,174.45119999999997,2018$/MWh
104,sat,8,base,jan_mar,174.45119999999997,2018$/MWh
105,sat,9,base,jan_mar,174.45119999999997,2018$/MWh
106,sat,10,base,jan_mar,174.45119999999997,2018$/MWh
107,sat,11,base,jan_mar,174.45119999999997,2018$/MWh
108,sat,12,base,jan_mar,174.45119999999997,2018$/MWh
109,sat,13,base,jan_mar,174.45119999999997,2018$/MWh
110,sat,14,base,jan_mar,174.45119999999997,2018$/MWh
111,sat,15,base,jan_mar,174.45119999999997,2018$/MWh
112,sat,16,base,jan_mar,174.45119999999997,2018$/MWh
113,sat,17,base,jan_mar,174.45119999999997,2018$/MWh
114,sat,18,base,jan_mar,174.45119999999997,2018$/MWh
115,sat,19,base,jan_mar,174.45119999999997,2018$/MWh
116,sat,20,base,jan_mar,174.45119999999997,2018$/MWh
117,sat,21,base,jan_mar,174.45119999999997,2018$/MWh
118,sat,22,base,jan_mar,174.45119999999997,2018$/MWh
119,sat,23,base,jan_mar,174.45119999999997,2018$/MWh
120,sun,0,base,jan_mar,174.45119999999997,2018$/MWh
121,sun,1,base,jan_mar,174.45119999999997,2018$/MWh
122,sun,2,base,jan_mar,174.45119999999997,2018$/MWh
123,sun,3,base,jan_mar,174.45119999999997,2018$/MWh
124,sun,4,base,jan_mar,174.45119999999997,2018$/MWh
125,sun,5,base,jan_mar,174.45119999999997,2018$/MWh
126,sun,6,base,jan_mar,174.45119999999997,2018$/MWh
127,sun,7,base,jan_mar,174.45119999999997,2018$/MWh
128,sun,8,base,jan_mar,174.45119999999997,2018$/MWh
129,sun,9,base,jan_mar,174.45119999999997,2018$/MWh
130,sun,10,base,jan_mar,174.45119999999997,2018$/MWh
131,sun,11,base,jan_mar,174.45119999999997,2018$/MWh
132,sun,12,base,jan_mar,174.45119999999997,2018$/MWh
133,sun,13,base,jan_mar,174.45119999999997,2018$/MWh
134,sun,14,base,jan_mar,174.45119999999997,2018$/MWh
135,sun,15,base,jan_mar,174.45119999999997,2018$/MWh
136,sun,16,base,jan_mar,174.45119999999997,2018$/MWh
