,state,facility_name,facility_id,year,date,hour,load_mw,so2_lb,nox_lb,co2_short_tons,heat_input_mmbtu
65,CA,Harbor Generating Station,399,2019,1/3/19,17,0.0,0.0,0.0,0.0,0.0
66,CA,Harbor Generating Station,399,2019,1/3/19,18,0.0,0.0,0.0,0.0,0.0
67,CA,Harbor Generating Station,399,2019,1/3/19,19,0.0,0.0,0.0,0.0,0.0
68,CA,Harbor Generating Station,399,2019,1/3/19,20,0.0,0.0,0.0,0.0,0.0
69,CA,Harbor Generating Station,399,2019,1/3/19,21,0.0,0.0,0.0,0.0,0.0
70,CA,Harbor Generating Station,399,2019,1/3/19,22,0.0,0.0,0.0,0.0,0.0
71,CA,Harbor Generating Station,399,2019,1/3/19,23,0.0,0.0,0.0,0.0,0.0
72,CA,Harbor Generating Station,399,2019,1/4/19,0,0.0,0.0,0.0,0.0,0.0
73,CA,Harbor Generating Station,399,2019,1/4/19,1,0.0,0.0,0.0,0.0,0.0
74,CA,Harbor Generating Station,399,2019,1/4/19,2,0.0,0.0,0.0,0.0,0.0
75,CA,Harbor Generating Station,399,2019,1/4/19,3,0.0,0.0,0.0,0.0,0.0
76,CA,Harbor Generating Station,399,2019,1/4/19,4,0.0,0.0,0.0,0.0,0.0
77,CA,Harbor Generating Station,399,2019,1/4/19,5,0.0,0.0,0.0,0.0,0.0
78,CA,Harbor Generating Station,399,2019,1/4/19,6,0.0,0.0,0.0,0.0,0.0
79,CA,Harbor Generating Station,399,2019,1/4/19,7,0.0,0.0,0.0,0.0,0.0
80,CA,Harbor Generating Station,399,2019,1/4/19,8,0.0,0.0,0.0,0.0,0.0
81,CA,Harbor Generating Station,399,2019,1/4/19,9,0.0,0.0,0.0,0.0,0.0
82,CA,Harbor Generating Station,399,2019,1/4/19,10,0.0,0.0,0.0,0.0,0.0
83,CA,Harbor Generating Station,399,2019,1/4/19,11,0.0,0.0,0.0,0.0,0.0
84,CA,Harbor Generating Station,399,2019,1/4/19,12,0.0,0.0,0.0,0.0,0.0
85,CA,Harbor Generating Station,399,2019,1/4/19,13,0.0,0.0,0.0,0.0,0.0
86,CA,Harbor Generating Station,399,2019,1/4/19,14,0.0,0.0,0.0,0.0,0.0
87,CA,Harbor Generating Station,399,2019,1/4/19,15,0.0,0.0,0.0,0.0,0.0
88,CA,Harbor Generating Station,399,2019,1/4/19,16,0.0,0.0,0.0,0.0,0.0
89,CA,Harbor Generating Station,399,2019,1/4/19,17,0.0,0.0,0.0,0.0,0.0
90,CA,Harbor Generating Station,399,2019,1/4/19,18,0.0,0.0,0.0,0.0,0.0
91,CA,Harbor Generating Station,399,2019,1/4/19,19,0.0,0.0,0.0,0.0,0.0
92,CA,Harbor Generating Station,399,2019,1/4/19,20,0.0,0.0,0.0,0.0,0.0
93,CA,Harbor Generating Station,399,2019,1/4/19,21,0.0,0.0,0.0,0.0,0.0
94,CA,Harbor Generating Station,399,2019,1/4/19,22,0.0,0.0,0.0,0.0,0.0
95,CA,Harbor Generating Station,399,2019,1/4/19,23,0.0,0.0,0.0,0.0,0.0
96,CA,Harbor Generating Station,399,2019,1/5/19,0,0.0,0.0,0.0,0.0,0.0
97,CA,Harbor Generating Station,399,2019,1/5/19,1,0.0,0.0,0.0,0.0,0.0
98,CA,Harbor Generating Station,399,2019,1/5/19,2,0.0,0.0,0.0,0.0,0.0
99,CA,Harbor Generating Station,399,2019,1/5/19,3,0.0,0.0,0.0,0.0,0.0
