,date,hour,Total_Generation_(MWh),ladwp_so2_lb,ladwp_nox_lb,ladwp_co2_short_tons,ladwp_so2_avg_lbs_per_mwh,ladwp_nox_avg_lbs_per_mwh,ladwp_co2_avg_short_tons_per_mwh
7697,2019-11-17,17,3176.0,1280.4046344352507,4592.600257087551,2095.223628224822,0.40315007381462553,1.4460328265389013,0.6597051726148684
7698,2019-11-17,18,3112.0,1246.9746769724486,4617.329678205442,2036.3835080007882,0.4006988036543858,1.4837177629194866,0.6543648804629782
7699,2019-11-17,19,3094.0,1220.0248681576008,4500.7661007684255,2018.7505864445022,0.39431960832501645,1.454675533538599,0.6524727170150298
7700,2019-11-17,20,3040.0,1142.866132226363,4289.010843317093,1969.2858885780925,0.3759428066534089,1.4108588300385174,0.6477914107164778
7701,2019-11-17,21,2792.0,898.5114583333333,3495.3463586065573,1745.6853825136611,0.321816424904489,1.2519148848877355,0.6252454808430018
7702,2019-11-17,22,2495.0,585.2928868557008,2466.382210772734,1487.7580825076898,0.23458632739707447,0.9885299441974886,0.5962958246523806
7703,2019-11-17,23,2225.0,593.1347113194868,1849.4902011554877,1325.1890138715894,0.26657739834583677,0.8312315510811181,0.595590568032175
7704,2019-11-18,0,1892.0,505.24963686300003,1636.6044031281017,1143.0158856737053,0.2670452626125793,0.8650128980592504,0.6041310177979414
7705,2019-11-18,1,1761.0,397.6519080978612,1483.9392207368687,1037.3659930179524,0.22581028284943852,0.8426684955916347,0.589077792741597
7706,2019-11-18,2,1763.0,357.52482244526016,1627.6786218779678,1045.8452560515439,0.20279343303758376,0.9232436879625455,0.5932190902164174
7707,2019-11-18,3,1749.0,354.5912373852603,1640.4137824640527,1037.1342685838595,0.20273941531461423,0.9379152558399386,0.5929870031926012
7708,2019-11-18,4,1871.0,414.9561921391946,1858.6927429218015,1132.4059305996961,0.221783106434631,0.9934220966979164,0.605241010475519
7709,2019-11-18,5,2207.0,632.1434341829269,2340.6347722488354,1440.1641547183876,0.2864265673687933,1.0605504178744156,0.6525437946163968
7710,2019-11-18,6,2533.0,1105.086049341183,3104.2223567423603,1710.7473787496497,0.43627558205336875,1.225512181895918,0.6753838842280496
7711,2019-11-18,7,2608.0,862.613756706638,2980.4931597107043,1468.7845693757754,0.33075680855315875,1.1428271317909142,0.5631842673986869
7712,2019-11-18,8,2510.0,398.8748822382419,1752.2696063552555,1004.3317355302283,0.15891429571244697,0.6981153810180301,0.4001321655498918
7713,2019-11-18,9,2622.0,257.82283770868247,1466.115537143921,973.9306609569912,0.09833060171955853,0.5591592437619837,0.3714457135610188
7714,2019-11-18,10,2819.0,271.4643995288145,1658.9357893643146,1044.7138457696997,0.09629811973352767,0.5884837848046522,0.37059732024466113
7715,2019-11-18,11,2945.0,327.5045101655871,1838.4041998763914,1112.2581627296586,0.11120696440257626,0.6242459082772127,0.3776767954939418
7716,2019-11-18,12,3161.0,524.5677860099802,2392.2587022670355,1360.336945151011,0.16594994812084157,0.7568043980598024,0.43035018827934546
7717,2019-11-18,13,3393.0,777.4878439775314,2346.24278755704,1496.9355170170384,0.2291446637128003,0.6914950744347304,0.441183470974665
7718,2019-11-18,14,3627.0,884.3140152295632,2611.6797538932437,1732.722293393057,0.243814175690533,0.7200661025346689,0.47772878229750676
7719,2019-11-18,15,3795.0,1245.0155034792326,3738.4930952370173,2191.6056807475748,0.3280673263449888,0.9851101700229294,0.5774982030955401
7720,2019-11-18,16,3759.0,1542.852791961452,5261.065419107485,2299.21233588539,0.41044234955079867,1.399591758208961,0.6116553168090956
7721,2019-11-18,17,3893.0,1661.8791075964157,5708.741351212475,2280.3900621233797,0.4268890592336028,1.46641185492229,0.5857667768105265
7722,2019-11-18,18,3770.0,1606.959623698524,5722.0541723938095,2231.0826858844857,0.42624923705531137,1.5177862526243526,0.5917991209242668
7723,2019-11-18,19,3554.0,1602.1101164545157,5750.570391748052,2181.8319125150883,0.4507906911802239,1.618055822101309,0.6139088104994621
7724,2019-11-18,20,3464.0,1601.990239536334,5782.367648857342,2185.425989508822,0.46246831395390703,1.6692747254207108,0.6308966482415769
7725,2019-11-18,21,3261.0,1482.067370095456,5369.3019162899545,2000.289653791016,0.45448248086337195,1.6465200601931784,0.613397624590928
7726,2019-11-18,22,2776.0,943.3873319003459,3461.737455976581,1512.4298982578966,0.339836935122603,1.2470235792422841,0.5448234503810867
