"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
LDWP,"7/4/2019 5 p.m. PDT",3271,3300,2617,-654
LDWP,"7/4/2019 6 p.m. PDT",3309,3298,2569,-740
LDWP,"7/4/2019 7 p.m. PDT",3236,3284,2413,-823
LDWP,"7/4/2019 8 p.m. PDT",3107,3215,2324,-783
LDWP,"7/4/2019 9 p.m. PDT",3084,3154,2336,-748
LDWP,"7/4/2019 10 p.m. PDT",3013,3065,2245,-768
LDWP,"7/4/2019 11 p.m. PDT",2909,2879,2070,-838
LDWP,"7/5/2019 12 a.m. PDT",2743,2652,1946,-797
LDWP,"7/5/2019 1 a.m. PDT",2544,2333,1805,-739
LDWP,"7/5/2019 2 a.m. PDT",2391,2270,1595,-796
LDWP,"7/5/2019 3 a.m. PDT",2285,2176,1517,-767
LDWP,"7/5/2019 4 a.m. PDT",2230,2135,1490,-740
LDWP,"7/5/2019 5 a.m. PDT",2243,2165,1552,-691
LDWP,"7/5/2019 6 a.m. PDT",2327,2248,1637,-690
LDWP,"7/5/2019 7 a.m. PDT",2436,2377,1836,-600
LDWP,"7/5/2019 8 a.m. PDT",2589,2545,1953,-636
LDWP,"7/5/2019 9 a.m. PDT",2736,2688,2224,-513
LDWP,"7/5/2019 10 a.m. PDT",2877,2806,2402,-474
LDWP,"7/5/2019 11 a.m. PDT",2993,2925,2461,-532
LDWP,"7/5/2019 12 p.m. PDT",3089,3053,2521,-568
LDWP,"7/5/2019 1 p.m. PDT",3194,3160,2623,-571
LDWP,"7/5/2019 2 p.m. PDT",3300,3252,2749,-551
LDWP,"7/5/2019 3 p.m. PDT",3452,3346,2865,-588
LDWP,"7/5/2019 4 p.m. PDT",3631,3422,2891,-741
LDWP,"7/5/2019 5 p.m. PDT",3763,3500,3044,-719
LDWP,"7/5/2019 6 p.m. PDT",3843,3500,3143,-700
LDWP,"7/5/2019 7 p.m. PDT",3712,3449,3207,-505
LDWP,"7/5/2019 8 p.m. PDT",3556,3335,3107,-449
LDWP,"7/5/2019 9 p.m. PDT",3466,3259,3114,-352
LDWP,"7/5/2019 10 p.m. PDT",3331,3116,2716,-616
LDWP,"7/5/2019 11 p.m. PDT",3121,2880,2187,-934
LDWP,"7/6/2019 12 a.m. PDT",2902,2629,1982,-920
LDWP,"7/6/2019 1 a.m. PDT",2671,2452,1965,-706
LDWP,"7/6/2019 2 a.m. PDT",2523,2393,1761,-762
LDWP,"7/6/2019 3 a.m. PDT",2416,2276,1672,-744
LDWP,"7/6/2019 4 a.m. PDT",2336,2200,1594,-743
LDWP,"7/6/2019 5 a.m. PDT",2296,2178,1574,-722
LDWP,"7/6/2019 6 a.m. PDT",2305,2150,1512,-792
LDWP,"7/6/2019 7 a.m. PDT",2330,2197,1551,-779
LDWP,"7/6/2019 8 a.m. PDT",2609,2314,1850,-758
LDWP,"7/6/2019 9 a.m. PDT",2771,2470,2135,-636
LDWP,"7/6/2019 10 a.m. PDT",2911,2637,2312,-599
LDWP,"7/6/2019 11 a.m. PDT",3024,2780,2377,-647
LDWP,"7/6/2019 12 p.m. PDT",3124,2907,2394,-730
LDWP,"7/6/2019 1 p.m. PDT",3243,3021,2625,-618
LDWP,"7/6/2019 2 p.m. PDT",3151,3123,2530,-620
LDWP,"7/6/2019 3 p.m. PDT",3310,3243,2623,-688
LDWP,"7/6/2019 4 p.m. PDT",3444,3500,2859,-586
LDWP,"7/6/2019 5 p.m. PDT",3518,3455,2909,-609
LDWP,"7/6/2019 6 p.m. PDT",3515,3355,2803,-712
LDWP,"7/6/2019 7 p.m. PDT",3452,3245,2704,-748
LDWP,"7/6/2019 8 p.m. PDT",3351,3168,2994,-357
LDWP,"7/6/2019 9 p.m. PDT",3296,3146,2574,-722
LDWP,"7/6/2019 10 p.m. PDT",3177,3062,2497,-680
LDWP,"7/6/2019 11 p.m. PDT",2963,2881,2334,-629
LDWP,"7/7/2019 12 a.m. PDT",2790,2694,2063,-727
LDWP,"7/7/2019 1 a.m. PDT",2606,2382,1817,-789
LDWP,"7/7/2019 2 a.m. PDT",2461,2339,1655,-805
LDWP,"7/7/2019 3 a.m. PDT",2367,2257,1551,-815
LDWP,"7/7/2019 4 a.m. PDT",2298,2198,1543,-755
LDWP,"7/7/2019 5 a.m. PDT",2253,2176,1501,-753
LDWP,"7/7/2019 6 a.m. PDT",2257,2150,1475,-782
LDWP,"7/7/2019 7 a.m. PDT",2238,2162,1478,-760
LDWP,"7/7/2019 8 a.m. PDT",2270,2220,1623,-647
LDWP,"7/7/2019 9 a.m. PDT",2539,2317,1957,-582
LDWP,"7/7/2019 10 a.m. PDT",2747,2432,2312,-435
LDWP,"7/7/2019 11 a.m. PDT",2849,2555,2426,-424
LDWP,"7/7/2019 12 p.m. PDT",2921,2670,2490,-432
LDWP,"7/7/2019 1 p.m. PDT",2931,2787,2498,-433
LDWP,"7/7/2019 2 p.m. PDT",2954,2915,2425,-529
LDWP,"7/7/2019 3 p.m. PDT",3065,3047,2422,-643
LDWP,"7/7/2019 4 p.m. PDT",3220,3158,2483,-737
LDWP,"7/7/2019 5 p.m. PDT",3128,3250,2416,-712
LDWP,"7/7/2019 6 p.m. PDT",3189,3249,2741,-448
LDWP,"7/7/2019 7 p.m. PDT",3223,3214,2758,-465
LDWP,"7/7/2019 8 p.m. PDT",3201,3134,2812,-389
LDWP,"7/7/2019 9 p.m. PDT",3235,3093,2663,-571
LDWP,"7/7/2019 10 p.m. PDT",3147,3025,2576,-571
LDWP,"7/7/2019 11 p.m. PDT",2940,2836,2393,-547
LDWP,"7/8/2019 12 a.m. PDT",2723,2623,1987,-736
LDWP,"7/8/2019 1 a.m. PDT",2525,2330,1750,-775
LDWP,"7/8/2019 2 a.m. PDT",2408,2277,1597,-812
LDWP,"7/8/2019 3 a.m. PDT",2314,2187,1583,-731
LDWP,"7/8/2019 4 a.m. PDT",2284,2150,1561,-723
LDWP,"7/8/2019 5 a.m. PDT",2320,2191,1536,-783
LDWP,"7/8/2019 6 a.m. PDT",2449,2282,1545,-904
LDWP,"7/8/2019 7 a.m. PDT",2642,2427,1674,-968
LDWP,"7/8/2019 8 a.m. PDT",2817,2595,2050,-767
LDWP,"7/8/2019 9 a.m. PDT",2998,2737,2266,-733
LDWP,"7/8/2019 10 a.m. PDT",3120,2824,2484,-635
LDWP,"7/8/2019 11 a.m. PDT",3334,2888,2599,-735
LDWP,"7/8/2019 12 p.m. PDT",3471,2978,2641,-831
LDWP,"7/8/2019 1 p.m. PDT",3453,3060,2770,-683
LDWP,"7/8/2019 2 p.m. PDT",3488,3149,2827,-661
LDWP,"7/8/2019 3 p.m. PDT",3474,3261,2844,-630
LDWP,"7/8/2019 4 p.m. PDT",3490,3373,2807,-683
LDWP,"7/8/2019 5 p.m. PDT",3564,3450,2916,-649
LDWP,"7/8/2019 6 p.m. PDT",3582,3443,2818,-765
LDWP,"7/8/2019 7 p.m. PDT",3479,3406,2759,-720
LDWP,"7/8/2019 8 p.m. PDT",3383,3333,2727,-656
LDWP,"7/8/2019 9 p.m. PDT",3379,3285,2531,-848
LDWP,"7/8/2019 10 p.m. PDT",3265,3160,2304,-961
LDWP,"7/8/2019 11 p.m. PDT",2988,2919,2058,-930
LDWP,"7/9/2019 12 a.m. PDT",2758,2674,1973,-785
LDWP,"7/9/2019 1 a.m. PDT",2552,2243,1965,-587
LDWP,"7/9/2019 2 a.m. PDT",2410,2186,1863,-546
LDWP,"7/9/2019 3 a.m. PDT",2316,2090,1769,-547
LDWP,"7/9/2019 4 a.m. PDT",2261,2051,1758,-504
LDWP,"7/9/2019 5 a.m. PDT",2294,2094,1776,-517
LDWP,"7/9/2019 6 a.m. PDT",2435,2192,1881,-554
LDWP,"7/9/2019 7 a.m. PDT",2610,2348,2018,-593
LDWP,"7/9/2019 8 a.m. PDT",2814,2529,2374,-440
LDWP,"7/9/2019 9 a.m. PDT",2998,2682,2505,-493
LDWP,"7/9/2019 10 a.m. PDT",3099,2776,2633,-466
LDWP,"7/9/2019 11 a.m. PDT",3200,2845,2704,-495
LDWP,"7/9/2019 12 p.m. PDT",3344,2941,2824,-520
LDWP,"7/9/2019 1 p.m. PDT",3472,3030,2969,-503
LDWP,"7/9/2019 2 p.m. PDT",3590,3126,3040,-550
