"BA Code","Timestamp (Hour Ending)","Total Generation (MWh)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
LDWP,"7/1/2019 12 a.m. PDT",2454,87,17,51,239,1421,639
LDWP,"7/1/2019 1 a.m. PDT",2149,77,17,51,235,1131,637
LDWP,"7/1/2019 2 a.m. PDT",1890,78,17,51,205,902,638
LDWP,"7/1/2019 3 a.m. PDT",1809,52,17,51,204,846,639
LDWP,"7/1/2019 4 a.m. PDT",1834,70,17,51,210,846,640
LDWP,"7/1/2019 5 a.m. PDT",1912,69,17,51,235,899,641
LDWP,"7/1/2019 6 a.m. PDT",1951,78,18,51,236,926,642
LDWP,"7/1/2019 7 a.m. PDT",2114,88,183,51,230,919,642
LDWP,"7/1/2019 8 a.m. PDT",2259,61,620,51,204,680,643
LDWP,"7/1/2019 9 a.m. PDT",2528,45,923,51,203,663,643
LDWP,"7/1/2019 10 a.m. PDT",2705,54,1053,51,203,700,643
LDWP,"7/1/2019 11 a.m. PDT",2892,66,1138,51,200,795,643
LDWP,"7/1/2019 12 p.m. PDT",3020,87,1165,51,201,874,642
LDWP,"7/1/2019 1 p.m. PDT",3181,77,1162,51,207,1042,642
LDWP,"7/1/2019 2 p.m. PDT",3422,93,1159,51,239,1240,640
LDWP,"7/1/2019 3 p.m. PDT",3581,108,1144,51,242,1395,640
LDWP,"7/1/2019 4 p.m. PDT",3597,131,1085,51,242,1446,640
LDWP,"7/1/2019 5 p.m. PDT",3678,171,986,124,221,1536,640
LDWP,"7/1/2019 6 p.m. PDT",3579,174,818,153,249,1543,641
LDWP,"7/1/2019 7 p.m. PDT",3307,188,450,244,227,1546,651
LDWP,"7/1/2019 8 p.m. PDT",3468,180,94,534,249,1528,883
LDWP,"7/1/2019 9 p.m. PDT",3149,163,17,537,253,1304,874
LDWP,"7/1/2019 10 p.m. PDT",2811,190,17,416,253,1284,651
LDWP,"7/1/2019 11 p.m. PDT",2741,194,17,351,254,1284,641
LDWP,"7/2/2019 12 a.m. PDT",2586,157,17,232,253,1286,642
LDWP,"7/2/2019 1 a.m. PDT",2405,156,17,153,247,1190,642
LDWP,"7/2/2019 2 a.m. PDT",2115,156,17,153,210,938,640
LDWP,"7/2/2019 3 a.m. PDT",1973,160,17,153,207,795,641
LDWP,"7/2/2019 4 a.m. PDT",1872,150,17,154,205,705,642
LDWP,"7/2/2019 5 a.m. PDT",1876,150,17,154,207,705,643
LDWP,"7/2/2019 6 a.m. PDT",1996,145,18,154,243,793,642
LDWP,"7/2/2019 7 a.m. PDT",2153,143,184,153,237,795,642
LDWP,"7/2/2019 8 a.m. PDT",2275,98,631,153,207,544,642
LDWP,"7/2/2019 9 a.m. PDT",2474,111,932,153,203,433,642
