"BA Code","Timestamp (Hour Ending)","Total Generation (MWh)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
LDWP,"2/1/2019 12 a.m. PST",2485,4,4,27,228,1238,985
LDWP,"2/1/2019 1 a.m. PST",2326,4,4,27,228,1082,980
LDWP,"2/1/2019 2 a.m. PST",2163,8,4,27,228,1050,846
LDWP,"2/1/2019 3 a.m. PST",2119,7,4,27,229,1049,803
LDWP,"2/1/2019 4 a.m. PST",2102,5,4,27,228,1051,786
LDWP,"2/1/2019 5 a.m. PST",2207,7,4,27,229,1050,890
LDWP,"2/1/2019 6 a.m. PST",2431,6,4,27,229,1088,1076
LDWP,"2/1/2019 7 a.m. PST",2576,8,6,27,232,1191,1112
LDWP,"2/1/2019 8 a.m. PST",2804,14,128,30,230,1277,1124
LDWP,"2/1/2019 9 a.m. PST",2768,16,358,32,224,1122,1016
LDWP,"2/1/2019 10 a.m. PST",2640,12,516,31,197,1037,845
LDWP,"2/1/2019 11 a.m. PST",2626,24,618,26,194,1027,737
LDWP,"2/1/2019 12 p.m. PST",2609,45,709,23,194,968,670
LDWP,"2/1/2019 1 p.m. PST",2573,46,720,23,196,941,646
LDWP,"2/1/2019 2 p.m. PST",2564,63,618,22,224,992,644
LDWP,"2/1/2019 3 p.m. PST",2561,71,474,23,225,993,774
LDWP,"2/1/2019 4 p.m. PST",2781,78,310,23,226,1138,1005
LDWP,"2/1/2019 5 p.m. PST",2877,59,79,23,233,1436,1047
LDWP,"2/1/2019 6 p.m. PST",3023,89,5,23,228,1631,1047
LDWP,"2/1/2019 7 p.m. PST",3007,125,4,23,205,1621,1028
LDWP,"2/1/2019 8 p.m. PST",2995,103,4,23,228,1588,1048
LDWP,"2/1/2019 9 p.m. PST",2949,115,4,25,236,1522,1047
LDWP,"2/1/2019 10 p.m. PST",2717,122,4,25,237,1342,986
LDWP,"2/1/2019 11 p.m. PST",2646,135,4,25,236,1306,940
LDWP,"2/2/2019 12 a.m. PST",2513,87,4,25,232,1229,936
LDWP,"2/2/2019 1 a.m. PST",2195,113,4,25,223,1036,793
LDWP,"2/2/2019 2 a.m. PST",2024,99,4,25,223,1033,640
LDWP,"2/2/2019 3 a.m. PST",1980,70,4,26,223,1019,639
LDWP,"2/2/2019 4 a.m. PST",1910,82,4,25,197,962,639
LDWP,"2/2/2019 5 a.m. PST",1941,95,4,25,223,953,641
LDWP,"2/2/2019 6 a.m. PST",2004,124,4,23,224,987,642
LDWP,"2/2/2019 7 a.m. PST",2236,152,4,23,225,1045,787
LDWP,"2/2/2019 8 a.m. PST",2351,197,21,23,227,1045,839
LDWP,"2/2/2019 9 a.m. PST",2414,250,35,23,233,1055,819
LDWP,"2/2/2019 10 a.m. PST",2431,293,51,23,232,1063,768
LDWP,"2/2/2019 11 a.m. PST",2499,293,64,23,231,1131,757
LDWP,"2/2/2019 12 p.m. PST",2716,288,98,24,232,1319,756
LDWP,"2/2/2019 1 p.m. PST",2679,311,113,23,231,1320,680
LDWP,"2/2/2019 2 p.m. PST",2619,301,79,23,232,1325,660
LDWP,"2/2/2019 3 p.m. PST",2574,296,46,218,234,1111,670
LDWP,"2/2/2019 4 p.m. PST",2662,220,178,223,228,1126,685
LDWP,"2/2/2019 5 p.m. PST",2807,158,37,235,239,1196,941
