,resource,2020,2021,2022,Units
73,FCZ7.Commercial.Restaurant.WaterHeating,0.0,0.0,0.0,MW
74,FCZ7.Commercial.Retail.Cooling,0.0,0.0,0.0,MW
75,FCZ7.Commercial.Retail.Heating,0.0,0.0,0.0,MW
76,FCZ7.Commercial.Retail.IndoorLightingEff,0.0,0.0,0.0,MW
77,FCZ7.Commercial.Retail.OfficeEquipment,0.000128617,0.0,0.004877904,MW
78,FCZ7.Commercial.Retail.OutdoorLighting,0.0,0.0,0.0,MW
79,FCZ7.Commercial.Retail.Refrigeration,0.006031324,0.0033277869999999996,0.0034004670000000008,MW
80,FCZ7.Commercial.Retail.Ventilation,0.004928544,0.004454694,0.004019020999999999,MW
81,FCZ7.Commercial.Retail.WaterHeating,0.0,0.0,0.0,MW
82,FCZ7.Commercial.School.Cooking,0.0009254830000000001,0.000511099,0.000449699,MW
83,FCZ7.Commercial.School.Cooling,0.0,0.0,0.0,MW
84,FCZ7.Commercial.School.Heating,0.0,0.0,0.0,MW
85,FCZ7.Commercial.School.IndoorLightingEff,0.0,0.0,0.0,MW
86,FCZ7.Commercial.School.OfficeEquipment,6.3e-05,0.0,0.002390943,MW
87,FCZ7.Commercial.School.OutdoorLighting,0.0,0.0,0.0,MW
88,FCZ7.Commercial.School.Refrigeration,0.0017616560000000001,0.0009719949999999996,0.0009932230000000008,MW
89,FCZ7.Commercial.School.Ventilation,0.005179225,0.004681274,0.004223442,MW
90,FCZ7.Commercial.School.WaterHeating,0.0,0.0,0.0,MW
91,FCZ7.Commercial.Warehouse.Cooking,6.68e-06,3.72e-06,3.2e-06,MW
92,FCZ7.Commercial.Warehouse.Cooling,0.0,0.0,0.0,MW
93,FCZ7.Commercial.Warehouse.Heating,0.0,0.0,0.0,MW
94,FCZ7.Commercial.Warehouse.IndoorLightingEff,0.0,0.0,0.0,MW
95,FCZ7.Commercial.Warehouse.OfficeEquipment,3.8799999999999994e-05,0.0,0.0014720249999999999,MW
96,FCZ7.Commercial.Warehouse.OutdoorLighting,0.0,0.0,0.0,MW
97,FCZ7.Commercial.Warehouse.Refrigeration,0.0,0.0,0.0,MW
98,FCZ7.Commercial.Warehouse.Ventilation,0.0011482460000000001,0.0010378479999999999,0.0009363469999999999,MW
99,FCZ7.Commercial.Warehouse.WaterHeating,0.0,0.0,0.0,MW
100,FCZ7.Residential.MULTIFAMILY.CoolingEff,0.0,0.0,0.0,MW
101,FCZ7.Residential.MULTIFAMILY.Dryer,0.0,0.0,0.0,MW
102,FCZ7.Residential.MULTIFAMILY.Heating,0.0,0.0,0.0,MW
103,FCZ7.Residential.MULTIFAMILY.Refrigerator,0.0,0.0,0.0,MW
104,FCZ7.Residential.MULTIFAMILY.ResLightingEff,0.0,0.0,0.0,MW
105,FCZ7.Residential.MULTIFAMILY.WaterHeating,0.0,0.0,0.0,MW
106,FCZ7.Residential.SINGLEFAMILY.CoolingEff,0.0,0.0,0.0,MW
107,FCZ7.Residential.SINGLEFAMILY.Dryer,0.0,0.0,0.0,MW
108,FCZ7.Residential.SINGLEFAMILY.Heating,0.0,0.0,0.0,MW
109,FCZ7.Residential.SINGLEFAMILY.Refrigerator,0.0,0.0,0.0,MW
110,FCZ7.Residential.SINGLEFAMILY.ResLightingEff,0.0,0.0,0.0,MW
111,FCZ7.Residential.SINGLEFAMILY.WaterHeating,0.0,0.0,0.0,MW
112,storage_utility_2hr,0.0,0.0,0.0,MW
113,storage_utility_4hr,0.0,0.0,0.0,MW
114,storage_utility_6hr,0.0,0.0,0.0,MW
115,storage_residentialSF_4hr,0.0,0.0,0.0,MW
116,storage_residentialMF_4hr,0.0,0.0,0.0,MW
117,storage_ci_4hr,0.0,0.0,0.0,MW
118,diesel_genset_replacement_storage_4hr,29.140738100021256,0.0,0.0,MW
