,date,hour,moer (lbs CO2/MWh),version
0,2019-01-01,0,1197.0049930833331,3
1,2019-01-01,1,1438.1231917500002,3
2,2019-01-01,2,1491.2134255833332,3
3,2019-01-01,3,1161.5376471666666,3
4,2019-01-01,4,1085.20110825,3
5,2019-01-01,5,1082.0237023333332,3
6,2019-01-01,6,1308.0681656666668,3
7,2019-01-01,7,1281.6033349166667,3
8,2019-01-01,8,1273.3533637499997,3
9,2019-01-01,9,1191.3697360833335,3
10,2019-01-01,10,1266.7546344166667,3
11,2019-01-01,11,1305.7306714166666,3
12,2019-01-01,12,1341.8006098333333,3
13,2019-01-01,13,1240.7734519166668,3
14,2019-01-01,14,1232.7653898333335,3
15,2019-01-01,15,1213.8655731666668,3
16,2019-01-01,16,1170.9222362083333,3
17,2019-01-01,17,1117.1636655833336,3
18,2019-01-01,18,1076.5981756833332,3
19,2019-01-01,19,1179.0108148333334,3
20,2019-01-01,20,1042.8407492333336,3
21,2019-01-01,21,1100.1224189999996,3
22,2019-01-01,22,1120.5066957,3
23,2019-01-01,23,1196.8916284999998,3
24,2019-01-02,0,1273.7153469166667,3
25,2019-01-02,1,1252.4713179999999,3
26,2019-01-02,2,1313.9637789166668,3
27,2019-01-02,3,1154.683018833333,3
28,2019-01-02,4,925.1362626333334,3
29,2019-01-02,5,922.16089275,3
30,2019-01-02,6,1229.38787725,3
31,2019-01-02,7,1300.3084853333335,3
32,2019-01-02,8,1190.9109886666668,3
33,2019-01-02,9,1168.7253591666665,3
34,2019-01-02,10,1255.5476199999996,3
35,2019-01-02,11,1338.7477278333336,3
36,2019-01-02,12,1282.35811925,3
37,2019-01-02,13,1216.1248697500002,3
38,2019-01-02,14,1298.0895441666669,3
39,2019-01-02,15,1218.71031925,3
40,2019-01-02,16,1185.0320610833332,3
41,2019-01-02,17,1324.4268624999997,3
42,2019-01-02,18,1316.1793656666669,3
43,2019-01-02,19,1254.6393287499998,3
44,2019-01-02,20,1203.5159499999997,3
45,2019-01-02,21,1262.04526125,3
46,2019-01-02,22,1184.3699491666664,3
47,2019-01-02,23,1248.0036287750002,3
48,2019-01-03,0,1247.2207610833336,3
49,2019-01-03,1,1111.9087105,3
50,2019-01-03,2,1216.2423916666667,3
51,2019-01-03,3,1172.6490530833335,3
52,2019-01-03,4,1151.3316780833331,3
53,2019-01-03,5,1097.1215718333333,3
54,2019-01-03,6,1003.9912492833332,3
55,2019-01-03,7,1221.39369,3
56,2019-01-03,8,1290.1087478333334,3
57,2019-01-03,9,1193.3853220833334,3
58,2019-01-03,10,1273.4124385833331,3
59,2019-01-03,11,1339.7590515000002,3
60,2019-01-03,12,1266.49681425,3
61,2019-01-03,13,1210.0700600833331,3
62,2019-01-03,14,1294.1002689166667,3
63,2019-01-03,15,1154.3635647499998,3
64,2019-01-03,16,1210.4802808333334,3
65,2019-01-03,17,1326.0729169166666,3
66,2019-01-03,18,1141.0106703333333,3
67,2019-01-03,19,1272.7466029166665,3
68,2019-01-03,20,1321.2231610833333,3
69,2019-01-03,21,1071.6609970000002,3
70,2019-01-03,22,960.75384725,3
71,2019-01-03,23,1204.8918642583335,3
72,2019-01-04,0,1229.3735284833333,3
73,2019-01-04,1,1372.1679563500002,3
74,2019-01-04,2,1066.8894475250002,3
75,2019-01-04,3,1134.3565829166664,3
76,2019-01-04,4,1079.4452326416665,3
77,2019-01-04,5,1112.0620339166667,3
78,2019-01-04,6,1086.7418835000003,3
79,2019-01-04,7,1294.5255175,3
80,2019-01-04,8,1275.2895314999998,3
