,resource,2020,Units
89,FCZ7.Commercial.School.WaterHeating,1.0,MW
90,FCZ7.Commercial.Warehouse.Cooking,1.0,MW
91,FCZ7.Commercial.Warehouse.Cooling,1.0,MW
92,FCZ7.Commercial.Warehouse.Heating,1.0,MW
93,FCZ7.Commercial.Warehouse.IndoorLightingEff,1.0,MW
94,FCZ7.Commercial.Warehouse.OfficeEquipment,1.0,MW
95,FCZ7.Commercial.Warehouse.OutdoorLighting,1.0,MW
96,FCZ7.Commercial.Warehouse.Refrigeration,1.0,MW
97,FCZ7.Commercial.Warehouse.Ventilation,1.0,MW
98,FCZ7.Commercial.Warehouse.WaterHeating,1.0,MW
99,FCZ7.Residential.MULTIFAMILY.CoolingEff,1.0,MW
100,FCZ7.Residential.MULTIFAMILY.Dryer,1.0,MW
101,FCZ7.Residential.MULTIFAMILY.Heating,1.0,MW
102,FCZ7.Residential.MULTIFAMILY.Refrigerator,1.0,MW
103,FCZ7.Residential.MULTIFAMILY.ResLightingEff,1.0,MW
104,FCZ7.Residential.MULTIFAMILY.WaterHeating,1.0,MW
105,FCZ7.Residential.SINGLEFAMILY.CoolingEff,1.0,MW
106,FCZ7.Residential.SINGLEFAMILY.Dryer,1.0,MW
107,FCZ7.Residential.SINGLEFAMILY.Heating,1.0,MW
108,FCZ7.Residential.SINGLEFAMILY.Refrigerator,1.0,MW
109,FCZ7.Residential.SINGLEFAMILY.ResLightingEff,1.0,MW
110,FCZ7.Residential.SINGLEFAMILY.WaterHeating,1.0,MW
111,storage_utility_2hr,0.0,MW
112,storage_utility_4hr,0.0,MW
113,storage_utility_6hr,0.0,MW
114,storage_residentialSF_4hr,0.0,MW
115,storage_residentialMF_4hr,0.0,MW
116,storage_ci_4hr,0.0,MW
117,diesel_genset_replacement_storage_4hr,0.0,MW
